,Pos,Titulo,Anio,url_peli,url,Puntos
165,16,Evolution of a Filipino Family,2004,/film/evolution-of-a-filipino-family/,https://letterboxd.com/xator_nova/list/tft2000s/detail,2
166,17,Aching Hearts,2009,/film/aching-hearts/,https://letterboxd.com/xator_nova/list/tft2000s/detail,2
167,18,The Story of Marie and Julien,2003,/film/the-story-of-marie-and-julien/,https://letterboxd.com/xator_nova/list/tft2000s/detail,2
168,19,The Captive,2000,/film/the-captive/,https://letterboxd.com/xator_nova/list/tft2000s/detail,2
169,20,To Die Like a Man,2009,/film/to-die-like-a-man/,https://letterboxd.com/xator_nova/list/tft2000s/detail,2
170,21,Women in the Mirror,2002,/film/women-in-the-mirror/,https://letterboxd.com/xator_nova/list/tft2000s/detail,1
171,22,Shara,2003,/film/shara/,https://letterboxd.com/xator_nova/list/tft2000s/detail,1
172,23,Café Lumière,2003,/film/cafe-lumiere/,https://letterboxd.com/xator_nova/list/tft2000s/detail,1
173,24,Woman Is the Future of Man,2004,/film/woman-is-the-future-of-man/,https://letterboxd.com/xator_nova/list/tft2000s/detail,1
174,25,A Tender Place,2001,/film/a-tender-place/,https://letterboxd.com/xator_nova/list/tft2000s/detail,1
175,1,Werckmeister Harmonies,2000,/film/werckmeister-harmonies/,https://letterboxd.com/doark13/list/tft2000s/detail,6
176,2,In the Mood for Love,2000,/film/in-the-mood-for-love/,https://letterboxd.com/doark13/list/tft2000s/detail,5
177,3,"Goodbye, Dragon Inn",2003,/film/goodbye-dragon-inn/,https://letterboxd.com/doark13/list/tft2000s/detail,5
178,4,Ritual,2000,/film/ritual-2000/,https://letterboxd.com/doark13/list/tft2000s/detail,5
179,5,Spirited Away,2001,/film/spirited-away/,https://letterboxd.com/doark13/list/tft2000s/detail,5
180,6,Millennium Mambo,2001,/film/millennium-mambo/,https://letterboxd.com/doark13/list/tft2000s/detail,4
181,7,Suzhou River,2000,/film/suzhou-river/,https://letterboxd.com/doark13/list/tft2000s/detail,4
182,8,"Synecdoche, New York",2008,/film/synecdoche-new-york/,https://letterboxd.com/doark13/list/tft2000s/detail,4
183,9,Inland Empire,2006,/film/inland-empire/,https://letterboxd.com/doark13/list/tft2000s/detail,4
184,10,Melancholia,2008,/film/melancholia-2008/,https://letterboxd.com/doark13/list/tft2000s/detail,4
