Griffith;Feuillade;Bauer;Sjostrom;Chaplin;Weber;Guy;Western;Terror;Scifi;Animacion;Origenes1;Origenes2;Origenes3;Italia;Dinamarca;Alemania;IGM;Todas
;;;;;;;;;;;The Passion Play of Oberammergau;;Kong Frederik VIII gæster Jylland;;;;;Malombra
;;;;;;;;;;;The Clown Barber;;The Magnetized Man;;;;;Niagara Falls
;;;;;;;;;;;Shooting a Boer Spy;;Skøjteløbning i Fredericia;;;;;Eyes of Youth
;;;;;;;;;;;Col. Theodore Roosevelt and Officers of His Staff;;Københavnerbilleder;;;;;The Fight of Reporters
;;;;;;;;;;;Opening of the Kiel Canal;;Engineers Excavate Skandser and Set Off Blasts;;;;;The Fire
;;;;;;;;;;;Marche Indien sur le canal de la Viga;;Children's Aid Day in Copenhagen;;;;;Alger: rue Bab-Azoun
;;;;;;;;;;;Exercise a la baionette;;May 1 demonstrations in Slagelse;;;;;The Tango
;;;;;;;;;;;Le forum;;Automobiler i Fredensborg;;;;;Matrimony's Speed Limit
;;;;;;;;;;;The Parisians;;Sprængning af Træer i Dyrehaven;;;;;Álarcosbál
;;;;;;;;;;;Danse mexicaine;;Sprængning af Huse i Ordrup Krat;;;;;Tatárjárás
;;;;;;;;;;;X. La mise en croix;;Hestevæddeløb i Sverige;;;;;A tanítónö
;;;;;;;;;;;VI. La cène;;Haslev Agriculture Fair;;;;;A nőstényfarkas
;;;;;;;;;;;Casey at the Bat;;Vore Ingeniører slaar Pontonbro;;;;;The Kiss in the Tunnel
;;;;;;;;;;;Fantastic Dining Room;;Orchestra at Frederiksberg Theater;;;;;An Interesting Story
;;;;;;;;;;;Floral Parade of Lady Cyclists;;Volunteer Boys' Association;;;;;Chamonix: Arrivée en voitures des breaks d'excursion
;;;;;;;;;;;Eagle Dance, Pueblo Indians;;Badende Drenge i Skovshoved Havn;;;;;Partie de tric-trac
;;;;;;;;;;;Chinese Procession;;Zachariæs Selskab;;;;;The Taming of the Shrew
;;;;;;;;;;;Street Scene, San Diego;;Shrovetide Celebrations at Mogensen's;;;;;Seven Keys to Baldpate
;;;;;;;;;;;Colonel Funston Swimming the Bagbag River;;Viking løber af Stabelen;;;;;Faust and Marguerite
;;;;;;;;;;;The Island of Marken;;Fru Ellen Aggerholm;;;;;Young Romance
;;;;;;;;;;;Turin: The Duchess of Aosta at the Exposition;;The Hand of the Artist;;;;;Cortège au mariage de la princesse Maud
;;;;;;;;;;;Poker at Dawson City;;Mr. Hurry-up;;;;;The Famous Box Trick
;;;;;;;;;;;In Single File on the Mountain, l. Montée;;The Unwritten Law: A Thrilling Drama Based on the Thaw-White Tragedy;;;;;Animated Putty
;;;;;;;;;;;In Single File on Glaciers With Snowshoes, l. Montée;;The Fairy of the Black Rocks;;;;;Where the Breakers Roar
;;;;;;;;;;;Mauvais temps au port;;The Enchanted Pond;;;;;Belfast, exercices de sauvetage
;;;;;;;;;;;Locomobile;;The Charmer;;;;;A Modern Monte Cristo
;;;;;;;;;;;27ème chasseurs alpins : assaut d'un mur;;The Pearl Fisherman;;;;;Bokserparodi
;;;;;;;;;;;Explosion en mer;;Den hvide slavinde;;;;;Radeau avec baigneurs
;;;;;;;;;;;Caravane de chameaux;;Kong Frederik VIII besøger Færøerne;;;;;By the Cross
;;;;;;;;;;;Belfast : Pompiers: un incendie, II;;King Frederik VIII Travels to Iceland;;;;;The Unbeliever
;;;;;;;;;;;Liverpool, panorama pris du chemin de fer électrique, IV;;Ellehammers første Forsøg med Aeroplan;;;;;Princess Rajah Dance
;;;;;;;;;;;Déchargement d’un navire;;King Frederik VIII and Kristiania;;;;;Bowery Waltz
;;;;;;;;;;;In Front of Notre-Dame;;The King's Visit to Aarhus on 1. September 1906;;;;;The Speed Kings
;;;;;;;;;;;In a German Bath;;King Haakon's Coronation in Trondheim;;;;;My Brother Is Coming
;;;;;;;;;;;In the Friedrichstrasse;;The King and Queen Drive Between Kroningen and Trondheim Cathedral on 22 June 1906;;;;;Rip's Twenty Years' Sleep
;;;;;;;;;;;The Battleship 'Odin';;King Haakon's Arrival in Trondheim;;;;;The Human Fly
;;;;;;;;;;;German Lancers;;Prinsen og Prinsessen af Wales' Ankomst til Trondhjem;;;;;The Renunciation
;;;;;;;;;;;Changing Guard (Berlin);;Dynamiting Ruins and Rescuing Soldiers Caught in the Fallen Walls;;;;;Snowball Fight
;;;;;;;;;;;Emperor and Empress of Germany;;The Proclamation of King Frederik VIII;;;;;Water Lilies
;;;;;;;;;;;Lady Cyclists;;King Frederik VIII's Proclamation;;;;;Scene from the Elevator Ascending Eiffel Tower
;;;;;;;;;;;The Skaters;;Kong Haakons besøg paa 'Herluf Trolle';;;;;Misfortune Never Comes Alone
;;;;;;;;;;;Gordon Highlanders Leaving for the Boer War;;Militære Opvisninger paa Fælleden;;;;;The Kremos: Perilous Jumps
;;;;;;;;;;;Our New General Servant;;Væddeløbene ved Eremitagen;;;;;The Birth, the Life and the Death of Christ
;;;;;;;;;;;Gardener Watering Plants;;Kongerevue 1906;;;;;A Muddy Romance
;;;;;;;;;;;Trilby Burlesque;;17th of May in Norway;;;;;Cleopatra's Tomb
;;;;;;;;;;;Contortionist;;Lerfossen;;;;;The Life of General Villa
;;;;;;;;;;;Brighton Street Scene;;Kong Haakons og Dronning Mauds Besøg i Danmark;;;;;The Pyramids (Overview)
;;;;;;;;;;;Chegada do Trem em Petrópolis;;King Haakon's Visit to 'Dannenbrog' at Crown Prince Christian's Abode;;;;;Betta the Gypsy
;;;;;;;;;;;Wrestling;;Børnehjælpsdagen 1905, I-III;;;;;Panorama from the Tower of the Brooklyn Bridge
;;;;;;;;;;;Chrysis Waking;;Betting;;;;;A Moonlight Serenade
;;;;;;;;;;;Man on Parallel Bars;;Through Aarhus Gates by Tram;;;;;The Colonel's Shower Bath
;;;;;;;;;;;Making Sausages;;Linotol Comp.;;;;;Dante's Inferno
;;;;;;;;;;;The Children's Seaside Frolic;;King Haakon and Queen Maud's departure from Denmark on 23. November;;;;;Fear
;;;;;;;;;;;A Heavy Sea;;Christmas Miracle;;;;;The Lesser Evil
;;;;;;;;;;;Will Evans, the Musical Eccentric;;Lifting the Lid;;;;;Athlete with Wand
;;;;;;;;;;;Turcos (défilé);;Latina, Dislocation Act;;;;;The Magician's Cavern
;;;;;;;;;;;Paris : général Saussier et son état-major;;Latina, Physical Culture Poses (No. 2);;;;;The Cricket on the Hearth
;;;;;;;;;;;Paris : chasseurs à cheval et spahis de l’escorte;;Latina, Physical Culture Poses (No. 1);;;;;The Wings
;;;;;;;;;;;Park V. Fernie at Musselburgh;;Jim Jeffries on His California Ranch;;;;;Old Wives for New
;;;;;;;;;;;Girls Swinging;;Human Apes from the Orient;;;;;Le goûter des bébés
;;;;;;;;;;;Fire Drill;;The Anarchist's Mother-in-Law;;;;;Max Takes a Bath
;;;;;;;;;;;Photographic Convention of 1898;;Enkekejserinde Dagmars Ankomst;;;;;San Francisco Earthquake & Fire: April 18, 1906
;;;;;;;;;;;Alexandria Consulate;;Orfeus og Eurydike;;;;;The Enchanted Sedan Chair
;;;;;;;;;;;Annabelle Sun Dance;;Christian IXS bisættelse;;;;;Market Day in Bitola
;;;;;;;;;;;The Mischievous Monkey;;Holger Drachmann;;;;;Turkish Professor at the Agricultural School
;;;;;;;;;;;Les Aïnos à Yeso, [II];;The Pigeon Fairy;;;;;Hyde Park Corner
;;;;;;;;;;;Les Aïnos à Yeso, [I];;The Joe Gans-Battling Nelson Fight;;;;;In the Bogie Man's Cave
;;;;;;;;;;;Danseuses japonaises : la danse des ombrelles;;L'Obsession de l'or;;;;;The Last Drop of Water
;;;;;;;;;;;Procession shintoïste;;Anna, what are you waiting for?;;;;;Dragoons Crossing the Sâone
;;;;;;;;;;;Un pont à Kyoto;;Living Flowers;;;;;Two Fencers
;;;;;;;;;;;Yokohama : déchargement dans un port;;The Invisible Men;;;;;Cock Fight, No. 2
;;;;;;;;;;;Dîner japonais;;Voyage autour d'une étoile;;;;;In the Land of the Head Hunters
;;;;;;;;;;;Chutes du Rhin vues de près;;Electric Current;;;;;Sightseeing Through Whisky
;;;;;;;;;;;Procession, I;;Society Ballooning, Pittsfield, Mass.;;;;;London Street Dancers
;;;;;;;;;;;Pont sur le Rhin;;San Francisco Disaster;;;;;Down the Hudson
;;;;;;;;;;;Bersagliers;;Skyscrapers;;;;;Miniature Theatre
;;;;;;;;;;;Görlitz : revue devant Guillaume II et Nicolas II;;Arrival of Emigrants, Ellis Island;;;;;The Kiss
;;;;;;;;;;;Guillaume II et Nicolas II à cheval;;The Great Jewel Mystery;;;;;Come Along, Do!
;;;;;;;;;;;III. Défilé de hussards devant Guillaume II;;A Trip to Salt Lake City;;;;;Pay Your Dues
;;;;;;;;;;;I. Avant l'inauguration. Arrivée des souverains;;Departure of Peary and the Roosevelt from New York;;;;;Hearts and Flowers
;;;;;;;;;;;Pierrot et la mouche;;Pennsylvania Tunnel Excavation;;;;;The Hairdresser
;;;;;;;;;;;Jongleur au ballon;;Bargain Day, 14th Street, New York;;;;;Pont de Westminster
;;;;;;;;;;;Un prêté pour un rendu;;Hippodrome Races, Dreamland, Coney Island;;;;;Wallachian Dance
;;;;;;;;;;;Discussion;;The Boarding School Girls;;;;;The Exploits of Elaine
;;;;;;;;;;;Arroseur et arrosé, II;;Lovely Bohemians;;;;;The Attempt Against the Life of Maitre Labori
;;;;;;;;;;;Serpent;;Le Moustique Récalcitrant;;;;;The Face at the Window
;;;;;;;;;;;Amsterdams vreemdelingenverkeer;;Danse de l'éventail;;;;;The Children in the House
;;;;;;;;;;;After the Children's Fair in the Circus Carré, 13 September;;Dial's Girl's Band, Luna Park;;;;;Thieves' Gold
;;;;;;;;;;;Watersnood in buurt YY;;The Dog Outwits the Kidnapper;;;;;Moscow Clad in Snow
;;;;;;;;;;;De weeshuis-quaestie;;The Long Arm of the Law;;;;;Broncho Billy and the Land Grabber
;;;;;;;;;;;Een trambestorming op zondag op den dam;;The Boutdebois Brothers;;;;;A Daughter of France
;;;;;;;;;;;Bath Scene;;Little Tich;;;;;The Battle Hymn of the Republic
;;;;;;;;;;;Le chat qui joue;;Woman Draped in Patterned Handkerchiefs;;;;;From Broadway to a Throne
;;;;;;;;;;;Une partie de lawn-tennis, I;;The Roller Skate Craze;;;;;Sin
;;;;;;;;;;;La Bourse;;The Cigar Box;;;;;Onésime Gets Married... So Does Calino
;;;;;;;;;;;Sortie d'usine, [III];;Japanese Butterflies;;;;;Sauce for the Goose
;;;;;;;;;;;Sortie d'usine, [IV];;Buon anno!;;;;;Every Inch a Man
;;;;;;;;;;;Sardine fishing;;In the Land of the Gold Mines;;;;;The Ranchman's Vengeance
;;;;;;;;;;;Pêcheurs raccommodant les filets;;The Fairies and the Faun;;;;;The Flying Torpedo
;;;;;;;;;;;Marché;;The Blue Bird;;;;;Lutteurs japonais
;;;;;;;;;;;Leçon de bicyclette;;The Black Witch;;;;;The Bell Ringer's Daughter
;;;;;;;;;;;Enfant et chien;;Cinderella;;;;;Othello
;;;;;;;;;;;Abattage d'un arbre;;The Fairy of Spring;;;;;Love and Journalism
;;;;;;;;;;;Biarritz : la plage et la mer;;The Wonderful Album;;;;;Kansas Saloon Smashers
;;;;;;;;;;;Biarritz : le Port-Vieux;;The Hen That Laid the Golden Eggs;;;;;Budapest, pont suspendu
;;;;;;;;;;;Biarritz : une rue;;Policemen as We Portray Them / Policemen as They Are;;;;;Undressing Extraordinary
;;;;;;;;;;;Pau : la place du marché;;Dr. Isnardi: Amputation;;;;;The Candy Kid
;;;;;;;;;;;Cauterets : défilé, II;;Lady Helen's Escapade;;;;;Addition and Subtraction
;;;;;;;;;;;Cauterets : défilé, I;;Sideshow Wrestlers;;;;;Her Friend the Bandit
;;;;;;;;;;;Panorama de la ligne de Cauterets, II;;Sleeping Beauty;;;;;Over the Fence
;;;;;;;;;;;Panorama de la ligne de Cauterets, I;;The Woes of Roller Skaters;;;;;The House of Hate
;;;;;;;;;;;Défilé du club républicain James Blaine;;Modern Sculptors;;;;;Feeding the Doves
;;;;;;;;;;;Défilé de l'artillerie du district de Columbia;;The Vacuum Cleaner;;;;;Peggy
;;;;;;;;;;;Executive Mansion;;Why That Actor Was Late;;;;;Liverpool, panorama pris du chemin de fer électrique, I
;;;;;;;;;;;Visite de Leurs Majestés à la mine de fer;;A Very Fine Lady;;;;;Scandal
;;;;;;;;;;;Défilé des vétérans en costumes anciens : I. Vue de loin;;The Genii of Fire;;;;;Betsy's Burglar
;;;;;;;;;;;Défilé des bersagliers;;Fireside Reminiscences;;;;;Place du Pont
;;;;;;;;;;;Défilé de l'infanterie;;Cupid’s Pranks;;;;;The Terrible Turkish Executioner
;;;;;;;;;;;Arrivée du roi et de son état-major;;In a Difficult Position;;;;;Evian : procession de la Fête-Dieu I
;;;;;;;;;;;Roi d'Italie et prince Victor passant la revue;;Donnerwetter, tadellos;;;;;The Redman's View
;;;;;;;;;;;Arrivée d'un train à Melbourne;;Father Gets in the Game;;;;;Salome
;;;;;;;;;;;La Course;;At the French Ball;;;;;A Victim of Circumstance
;;;;;;;;;;;Enceinte du pesage;;The Bank Robbery;;;;;A Sawmill Hazard
;;;;;;;;;;;Arrivée du gouverneur;;Beginning of the Serpentine Dance;;;;;The Eternal Question
;;;;;;;;;;;La Foule;;French Cops Learning English;;;;;A Vitagraph Romance
;;;;;;;;;;;Inauguration du monument de Victor-Emmanuel à Sassari;;The Bee and the Rose;;;;;Love Everlasting
;;;;;;;;;;;Cuirassés de l'escadre italienne;;Love that Kills;;;;;Dr. Jekyll and Mr. Hyde
;;;;;;;;;;;Cuirassés de l'escadre française sur les côtes de Sardaigne;;Whimsical People;;;;;The Crow
;;;;;;;;;;;Station du chemin de fer de Tokyo;;At the Crossroads of Life;;;;;Men of the Desert
;;;;;;;;;;;Une avenue à Tokyo;;Tramway;;;;;Kampen om Kvinden
;;;;;;;;;;;Une rue à Tokyo, [II];;The Miser;;;;;The Moth
;;;;;;;;;;;Spain: Bullfighting;;The New Lord of the Village;;;;;The Human Pyramid
;;;;;;;;;;;Le prince et la princesse de Naples;;The Tempest;;;;;Chaise en bascule
;;;;;;;;;;;6ème bataillon de chasseurs alpins: ascension du sommet du diable;;Romance of a Jewess;;;;;Bicycle Trick Riding, No. 2
;;;;;;;;;;;La cène;;The Mischance of a Photographer;;;;;The Invaders
;;;;;;;;;;;New York, Avenue et Union Square;;A Calamitous Elopement;;;;;The Charge of the Light Brigade
;;;;;;;;;;;Une rue à Séville;;The Good Shepherdess and the Evil Princess;;;;;Father Sergius
;;;;;;;;;;;Acteurs japonais : bataille au sabre;;The Knight of Black Art;;;;;The Landing of Savage South Africa at Southampton
;;;;;;;;;;;Panorama pris en chemin de fer, départ de Dammurey;;Drama at the Puppets' House;;;;;The Death of the Duke D'Enghien
;;;;;;;;;;;Bal des Sablaises;;Not Guilty;;;;;Robin Hood
;;;;;;;;;;;Voyage de M. le Président Félix Faure en Russie (Août 1897): Arrivée du président et du Czar à Peterhof;;A Tricky Painter’s Fate;;;;;A Wasted Sacrifice
;;;;;;;;;;;Lourdes, procession, I;;Scullion's Dream;;;;;A Cure for Pokeritis
;;;;;;;;;;;Embarquement pour la promenade;;The Prophetess of Thebes;;;;;Shoes
;;;;;;;;;;;Panorama pris depuis une plate-forme mobile;;Oh How Deceptive;;;;;Leading Lizzie Astray
;;;;;;;;;;;Le président en promenade;;Buncoed Stage Johnnie;;;;;Flirting with Fate
;;;;;;;;;;;The Arrival of the King of Siam in Stockholm;;Tale the Autumn Leaves Told;;;;;Home, Sweet Home
;;;;;;;;;;;Parade of Buffalo Bill's Wild West Show, No. 2;;St. Kilda, Its People and Birds;;;;;Mexico, Spanish Street Dance
;;;;;;;;;;;A West Indian Woman Bathing a Baby;;Fish Factory at Astrakhan;;;;;The Man from Painted Post
;;;;;;;;;;;Buffalo Bill;;Female Conscripts;;;;;Where Is My Treasure?
;;;;;;;;;;;A Panorama of Indian Scenes & Procession;;The Vain Parlor Maid;;;;;Spain
;;;;;;;;;;;Two People at Dojo temple;;The Power of Hypnosis;;;;;The Dream Lady
;;;;;;;;;;;The German Emperor Reviewing His Troops;;Preparation for the Rendezvous;;;;;Execution of Czolgosz with Panorama of Auburn Prison
;;;;;;;;;;;Tsar et tsarine entrant dans l'église de l'Assomption;;The Magic of the Mandarin;;;;;Traffic in King's Road, Chelsea
;;;;;;;;;;;Chicken Thieves;;Robert Macaire and Bertrand;;;;;A Lady and Her Maid
;;;;;;;;;;;A Bicycle Trip Through Europe;;How Bridget's Lover Escaped;;;;;Love and War
;;;;;;;;;;;Arab Knife Grinder at Work;;Laughing Gas;;;;;The Little Match Seller
;;;;;;;;;;;Dancing Darkies;;The Talisman;;;;;The Airship Destroyer
;;;;;;;;;;;"Performing Animals; or, Skipping Dogs";;First Prize in Cello;;;;;The Warrior
;;;;;;;;;;;"Boxing Match; or, Glove Contest";;Rogues' Tricks;;;;;Tom Sawyer
;;;;;;;;;;;Landing at Low Tide;;The Colonel's Account;;;;;Turks' Hearing Speech on Hürriyet
;;;;;;;;;;;Sortie d'une noce à l'église;;La terroriste;;;;;The Spider and the Butterfly
;;;;;;;;;;;Arrivée en gondole des souverains d'Allemagne et d'Italie au palais royal de Venise;;Cohen’s Fire Sale;;;;;Alice's Adventures in Wonderland
;;;;;;;;;;;Cock Fight;;The Trainer’s Daughter, or A Race for Love;;;;;Le vieux Paris: Vue prise en bateau
;;;;;;;;;;;Pau : la terrasse;;Fights of Nations;;;;;Elephants Shooting the Chutes at Luna Park
;;;;;;;;;;;Paris : les souverains russes et le président de la République aux Champs-Élysées;;College Chums;;;;;The Cord of Life
;;;;;;;;;;;Les krémos: Pyramide;;Easter Eggs;;;;;Shulamith
;;;;;;;;;;;Pompiers : mise en batterie;;His First Cigar;;;;;Twice Lived
;;;;;;;;;;;Distributing a War Extra;;Wonderful Mirrors;;;;;Charley on the Farm
;;;;;;;;;;;Kanakas Diving for Money (Honolulu), No. 2;;The Yawner;;;;;Padre
;;;;;;;;;;;Street Fight and Arrest;;Harlequin's Story;;;;;His First Ride
;;;;;;;;;;;Pie Eating Contest;;La Marseillaise;;;;;A Duet
;;;;;;;;;;;Badescener fra Skovshoved;;Trial Marriages;;;;;Asesinato y entierro de Don José de Canalejas
;;;;;;;;;;;Svanerne i Sortedamssøen;;The Tulips;;;;;Fate's Turning
;;;;;;;;;;;Her First Cigarette;;Bathing Forbidden;;;;;Her Painted Hero
;;;;;;;;;;;Governor Roosevelt and Staff;;Veil Dance;;;;;Hello, Mabel
;;;;;;;;;;;Parke Davis' Employees;;The Angler;;;;;Alas and Alack
;;;;;;;;;;;The Dandy Fifth;;The Abduction of the Slave Women;;;;;Carmaux: Drawing Out the Coke
;;;;;;;;;;;A Bucking Broncho;;The Slave Market;;;;;The Hornbacker-Murphy Fight
;;;;;;;;;;;Duel to the Death;;The Sculptor's Dream;;;;;The House of Darkness
;;;;;;;;;;;U.S. Battleship 'Oregon';;An Exciting Hunt;;;;;Šaty dělají člověka
;;;;;;;;;;;71st Regiment, N.G.S.N.Y. at Camp Wikoff;;A Modern Marriage;;;;;Her Official Fathers
;;;;;;;;;;;President McKinley's Inspection of Camp Wikoff;;Diana Bathing;;;;;Indochina: Children Gathering Coins Scattered by Western Women
;;;;;;;;;;;Wreck of the 'Vizcaya';;Landbrug i Danmark;;;;;The Kinsman
;;;;;;;;;;;'Vizcaya' Under Full Headway;;Dancing Boxing Match, Montgomery and Stone;;;;;Lillian's Dilemma
;;;;;;;;;;;Cattle Leaving the Corral;;Sunderland v Leicester Fosse;;;;;Hat of Many Surprises
;;;;;;;;;;;Calf Branding;;Getting Evidence;;;;;The Old Monk's Tale
;;;;;;;;;;;Indian Day School;;The Luny Musician;;;;;That Fatal Sneeze
;;;;;;;;;;;General Wheeler and Secretary of War Alger at Camp Wikoff;;Jack the Chimney Sweep;;;;;Grevena Church
;;;;;;;;;;;Cafe Brawl;;The Tramp and the Mattress Makers;;;;;Celebration on the Occasion of Young Turks' Revolution in Bitola
;;;;;;;;;;;Queen Victoria's Diamond Jubilee;;The Bewitched Shepherd;;;;;A Hash House Fraud
;;;;;;;;;;;La Palestina en 1896;;From Leadville to Aspen: A Hold-Up in the Rockies;;;;;The Burglar on the Roof
;;;;;;;;;;;Scènes d'enfants;;The Terrible Kids;;;;;Satan at Play
;;;;;;;;;;;S.S. 'Queen' Loading;;A Roadside Inn;;;;;The Parish Priest's Christmas
;;;;;;;;;;;The Vanishing Lady;;The Rajah's Casket;;;;;He Never Objects to Noise
;;;;;;;;;;;Butterfly Dance;;The Fantastic Diver;;;;;Even as You and I
;;;;;;;;;;;Why Papa Cannot Sleep;;The Butterflies;;;;;The Tenor, Inc.
;;;;;;;;;;;No Jardim;;Flying the Foam and Some Fancy Diving;;;;;Attelage d'un camion
;;;;;;;;;;;The Soldier's Courtship;;Tartans of Scottish Clans;;;;;Funeral of Hiram Cronk
;;;;;;;;;;;Puerta del Sol;;Exploded Gas Tanks, U.S. Mint, Emporium and Spreckels' Bldg.;;;;;The Non-Stop Kid
;;;;;;;;;;;Brighton Beach;;Holmenkollen Ski Jump;;;;;The Sleep Walker
;;;;;;;;;;;The Turn-of-the-Century Barber;;Films of the San Francisco Earthquake;;;;;Greased Lightning
;;;;;;;;;;;Feira de Gado na Corujeira;;Zigeunerdans af troubaduren;;;;;Getting to the Ball Game
;;;;;;;;;;;Le Ring;;The Icelandic Althing Visits Copenhagen;;;;;Oh, What a Knight
;;;;;;;;;;;New York, patineurs au Parc central;;The Life Guards on Amager;;;;;What Is Seen Through a Keyhole
;;;;;;;;;;;Sortie de la briqueterie Meffre et Bourgoin, à Hanoï;;Army Pack Train Bringing Supplies;;;;;Broncho Billy's Word of Honor
;;;;;;;;;;;Panorama du funiculaire de Bellevue II;;Punch and Judy;;;;;A Capable Lady Cook
;;;;;;;;;;;Batteuse de blé;;The Kleptomaniac;;;;;Den lille Virtuos
;;;;;;;;;;;Bruxelles, Boulevard Anspach;;The Burglar's Slide for Life;;;;;Playing Trumps
;;;;;;;;;;;Défilé des vétérans en costumes anciens : II. Vue de près;;An Improvised Fireworks Display;;;;;Susan's Gentleman
;;;;;;;;;;;La Piscine d'Aix-les-Bains;;A Funny Shave;;;;;The Campbells Are Coming
;;;;;;;;;;;Départ en gondole de Leurs Majestés;;Ulysses and the Giant Polyphemus;;;;;Die Arche. 2. Teil: Die letzten Menschen
;;;;;;;;;;;Le rémouleur et l'assiette au noir;;The Seven Ages;;;;;The Foundling
;;;;;;;;;;;Victor Hugo et les principaux personnages des 'Misérables';;Flower Fairy;;;;;The Man from Tia Juana
;;;;;;;;;;;Feu de bois;;Police Chasing Scorching Auto;;;;;The Missing Links
;;;;;;;;;;;Fête du jubilé de la reine d'Angleterre : le cortège, la reine;;The Heroes of the Siege of Saragossa;;;;;The Trap
;;;;;;;;;;;Fêtes du Palais-Royal: Un tournoi;;The Vintner's Festival - Vevey 1905;;;;;Sis Hopkins
;;;;;;;;;;;Assassinat de Kleber;;A Ballroom Tragedy;;;;;A Gun Fightin' Gentleman
;;;;;;;;;;;Liverpool, Lime Street;;The Society Raffles;;;;;Professor Bean's Removal
;;;;;;;;;;;Budapest, Crown Procession;;England v. Ireland at Manchester;;;;;A Fire in a Burlesque Theatre
;;;;;;;;;;;Le commandant Marchand au Cercle Militaire à Paris;;Latina, Contortionist;;;;;The Return of Draw Egan
;;;;;;;;;;;La sortie de l'arsenal;;Spirit of '76;;;;;Mabel Lost and Won
;;;;;;;;;;;Panorama pris d'un ballon captif;;Kejser Wilhelms ankomst til København 1905;;;;;Bucking Broadway
;;;;;;;;;;;Chasse au Renard: Le Départ;;Scenes and Incidents, Russo-Japanese Peace Conference, Portsmouth, N. H.;;;;;The Trail of the Octopus
;;;;;;;;;;;Le roi de Cambodge se rendant au palais;;Opening of Belmont Park Race Course;;;;;Comical Conjuring
;;;;;;;;;;;La défense du drapeau;;2 A.M. in the Subway;;;;;Why Broncho Billy Left Bear County
;;;;;;;;;;;Constantinople, panorama des rives du Bosphore;;The Ljutomer Fair;;;;;The Grass Widower
;;;;;;;;;;;Thiers, Mac-Mahon, Grévy, Carnot, Félix Faure;;Special March Past of St. Joseph's Scholars and Special Parade of St. Matthew's Pupils, Blackburn;;;;;The Ideal Wife
;;;;;;;;;;;Une rue à Tokyo;;Preston North End v Aston Villa;;;;;Satan
;;;;;;;;;;;La paralytique;;The House of Cards;;;;;Heap Big Chief
;;;;;;;;;;;Bethléem, une place;;Slippery Jim;;;;;The Craving
;;;;;;;;;;;Les saltimbanques (Parodie);;Tom Thumb;;;;;Capybara Walking
;;;;;;;;;;;Belfast : Queen's Bridge;;Cretinetti troppo bello;;;;;New York, Brooklyn Bridge
;;;;;;;;;;;Cavalcade historique en Sardaigne;;The Surprises of a Flirtation;;;;;Winning Back His Love
;;;;;;;;;;;Roi et reine de Roumanie et leur escorte;;Nursing a Viper;;;;;The Nihilists
;;;;;;;;;;;Le marchand de marrons;;Custody of the Child;;;;;Mr. Jones at the Ball
;;;;;;;;;;;Beyrouth, place des canons;;The Race for a Monkey;;;;;The Primal Call
;;;;;;;;;;;Une scène d'hypnotisme II;;Urban Science: To Demonstrate How Spiders Fly;;;;;Het Vervloekte Geld
;;;;;;;;;;;Poursuite sur les toits;;The Happy Microbes;;;;;Ikarus, the Flying Man
;;;;;;;;;;;Dresde, vieux quartier à l'Exposition;;Wilbur Wright and his Flying Machine;;;;;Crimes of Diogo Alves
;;;;;;;;;;;Descent of the Great Pyramid;;An Awful Symphony;;;;;Julius Caesar
;;;;;;;;;;;Ballet, 'Le carnaval de Venise' II;;Romeo Turns Bandit;;;;;Exploding a Whitehead Torpedo
;;;;;;;;;;;Chutes du Rhin vues de loin;;Jesters-Jokes;;;;;Gold Rush Scenes in the Klondike
;;;;;;;;;;;Carrare, train sortant d'un tunnel;;A Wasted Life;;;;;Johanna Enlists
;;;;;;;;;;;Melbourne, les courses : présentation du vainqueur;;Benítez Wants to Be a Bullfighter;;;;;At the Floral Ball
;;;;;;;;;;;Washington, le président McKinley adressant son message au peuple;;A Funny Story at the Window;;;;;Bondage
;;;;;;;;;;;Lyon : sauvetage de lapins;;The Diabolical Church Window;;;;;The Irresistible Piano
;;;;;;;;;;;Aquarium;;Astrakhan Fisheries;;;;;At the Photographer's
;;;;;;;;;;;Panorama du funiculaire du Mont-Dore;;Drama in a Gypsy Camp Near Moscow;;;;;Burglary at Night
;;;;;;;;;;;Nîmes, sortie de l'église;;Dam and the Whole Dam Family;;;;;The Magic Dice
;;;;;;;;;;;Combat de coqs;;St. Patrick's Day Parade, Lowell, Mass.;;;;;Shooting Captured Insurgents
;;;;;;;;;;;Danseuse de ballet;;Wrestling at the New York Athletic Club;;;;;The Hallucinations of Baron Munchausen
;;;;;;;;;;;Rentrée à l'étable;;Panorama from Times Building, New York;;;;;The Child of Paris
;;;;;;;;;;;Liverpool, la rade;;Our New Errand Boy;;;;;The Doctor and the Monkey
;;;;;;;;;;;Procession of the sacred carpet;;The Lilliputian Minuet;;;;;Skating-rink in the Royal Baths
;;;;;;;;;;;Chiens savants: Equilibres;;Halifax Catholic Procession;;;;;Wolf Lowry
;;;;;;;;;;;Sortie de la Quadrille et commencement de la course (Vue de trios quarts);;A Frightful Night;;;;;The Call of the North
;;;;;;;;;;;Sortie de la quadrille (vue de face);;Magic Bricks;;;;;The Children of Captain Grant
;;;;;;;;;;;Boxers in Barrels;;Whaling Afloat and Ashore;;;;;The Tunnel
;;;;;;;;;;;Cheval de haute école, II;;Is Spiritualism a Fraud?: The Medium Exposed;;;;;Bunny's Suicide
;;;;;;;;;;;Berne : arrivée du roi de Siam;;A Lively Quarter-Day;;;;;Love Among the Roses
