Griffith;Feuillade;Bauer;Sjostrom;Chaplin;Weber;Guy;Western;Terror;Scifi;Animacion;Origenes1;Origenes2;Origenes3;Italia;Dinamarca;Alemania;IGM;Todas
Enoch Arden: Part I;Les millions de la bonne;;;Getting Acquainted;The Twins;The Fur Hat;The Man Without a Future;The Brand of Satan;Homunculus;Cat Trotting, Changing to a Gallop;The Boxing Cats;The Treasures of Satan;The Celebration of St. Cyril and Methodius on the Main Street in Bitola;Marc Antony and Cleopatra;Towards the Light;Das Opfer der Yella Rogesius;;The Haunted Castle
Home, Sweet Home;The New Mission of Judex;;;The New Janitor;A Japanese Idyll;Making an American Citizen;Scarlet Days;The Devil's Signature;The Intrigue;Matches: An Appeal;Serpentine Dance;The Enchanted Well;The Sacrifice;Pedestrian Love;Det gamle Købmandshjem;Um Krone und Peitsche;;The Conjurer
The House with Closed Shutters;For the Children;;;The Bond;How Men Propose;Alice Guy Films a 'Phonoscène' in the Studio at Buttes-Chaumont, Paris;The Spoilers;The Haunted Castle;De mystiske Z-Straaler;The Grasshopper and the Ant;Athlete Swinging a Pick;The Magic Lantern;Le matelas de la mariée;Carnevalesca;Mr. Fabian is Rathunting;Die Serpentintänzerin;;Making a Living
The Female of the Species;The Nativity;;;Caught in the Rain;;Greater Love Hath No Man;Nugget Jim's Pardner;Life Without Soul;Das lebende Rätsel;The Waiter's Dream;Fishing for Goldfish;The Devil and the Statue;Monsieur Clown Among the Lilliputians;Dall'amore al disonore;The Golden Horns;Arme Lena;;The Kiss
Love in an Apartment Hotel;The Fairy of the Surf;;;Gentlemen of Nerve;;The Lure;The Conqueror;La ballata della strega;William Voss;I'm Insured;The Pillar of Fire;Le village de Namo - Panorama pris d'une chaise à porteurs;The Call of the Wild;The Dread of Doom;A Lively Dream;Wanda's Trick;;20,000 Leagues Under the Sea
Betty of Greystone;Bébé Corrects His Father;;;Mabel's Busy Day;;The Dream Woman;The Mormon;The End of the Homunculus;Clash of the Titans;Never Again! The Story of a Speeder Cop.;Horse Trick Riders;Faust and Mephistopheles;MacNab's Visit to London;L'ira;The Strongest;Dresden, August-Brücke;;The Pawnshop
A Victim of Jealousy;Tih-Minh: Justice;;;His Trysting Places;;Turn-of-the-Century Surgery;Strongheart;The Revenge of the Homunculus;The Bodybuilder;The Chinese Shadows;Exit of Rip and the Dwarf;Panorama of Eiffel Tower;Come Cretinetti paga i debiti;The Legend of Saint Barbara;A Friend of the People;Der geprellte Don Juan;;Traffic Crossing Leeds Bridge
Jones and His New Neighbors;Tih-Minh: Document 29;;;The Property Man;;Danse Serpentine (In a Lion's Cage);His Only Son;The Dream Woman;Die große Wette;Cartoons On Tour;The X-Ray Fiend;The Pickpocket -- A Chase Through London;Telltale Reflections;Julian the Apostate;In the Hands of Imposters;Der Stier von Saldanha;;A Night in the Show
In the Aisles of the Wild;Tih-Minh: Wednesday, the 13th;;;His Favorite Pastime;;Disappearing Act;Under Burning Skies;A Cry in the Night;Pirates of 1920;Matsumoto Fragment;Annabelle Butterfly Dance;The Fairy of Spring;Fun After the Wedding;Pinocchio;Dr. Jekyll and Mr. Hyde;Elly und Nelly;;Sunnyside
A Rich Revenge;Tih-Min: The Saving Branch;;;A Jitney Elopement;;The Turn-of-the-Century Blind Man;The Patriot;Turn-of-the-Century Surgery;Die Entdeckung Deutschlands durch die Marsbewohner;"The Jealous Doll; or, The Frustrated Elopement";The Hallucinated Alchemist;Panoramic View of Boston Subway from an Electric Car;Sherlock Holmes in the Great Murder Mystery;The Last Days of Pompeii;Zigeuneren Raphael;Alraune and the Golem;;A Corner in Wheat
The Sunbeam;Tih-Minh: Beneath the Veil;;;The Face on the Barroom Floor;;Ocean Studies;The Cowboy Coward;The Mistletoe Bough;The Aerial Anarchists;Krazy Kat, Bugologist;Men Boxing;Steam Hammer;Twin Brothers;The Romance of a Jockey;A Human Life;Unsühnbar;;The Vanishing Lady
Friends;La cassette de l'émigrée;;;The Professor;;A Four-Year-Old Heroine;Told in Colorado;Maple Leaf Viewing;Grandfather's Pills;Lightning Sketches;Sandow;Départ de S. M. le Roi et de M. le Président pour la chasse à Rambouillet;Bébé's Masterpieces;The Merchant of Venice;Blind Justice;Carl und Carla;;Mabel at the Wheel
The Fall of Babylon;Tih-Minh: Evocation;;;Her Friend the Bandit;;Little Tich and His Funny Feet;Land O' Lizards;The Artificial Man;The Invisible Fluid;Captain Grogg's Wonderful Journey;Santa Claus;Nice : Sa Majesté Carnaval et le char des Limonadiers;An Awful Moment;The Extraordinary Adventures of Saturnino Farandola;The Will;Ringende Seelen;;A Burlesque on Carmen
A Trap for Santa Claus;Tih-Minh: Night Hawks;;;The Essanay-Chaplin Revue of 1916;;The Adventurer;The Good Bad Man;Andalusian Superstition;America to Europe in an Airship;The Little Soldier Who Became a God;Between Calais and Dover;The Fugitive Apparitions;A Drunkard's Reformation;La Moglie di Claudio;Sherlock Holmes;Gebannt und erlöst;;A Nightmare
The Usurer;Tih-Minh: At the Asylum;;;Charlie Chaplin Meets Harry Lauder;;The Cleaning Man;The Scrapper;The Knight of the Snow;The Mummy;Fancy Matches;The Little Girl and Her Cat;The Witch's Revenge;Klebolin Sticks to Everything;The Clemenceau Affair;Valdemars sejr;Der Seele Saiten schwingen nicht;;The Champion
The Violin Maker of Cremona;Tih-Minh: The Man in the Trunk;;;Chase Me Charlie;;Clown, Dog and Balloon;The Phantom Riders;Uncle Josh's Nightmare;Rescued in Mid-Air;Zim, Boum, Boum;Band Drill;The Mysterious Box;Les timidités de Rigadin;Nero and Agrippina;Trolovelsesringen;Kain;;Tillie's Punctured Romance
Scarlet Days;Tih-Minh: Mysteries of the Circe Villa;;;Charlie Butts In;;Le cireur distrait;The Soul Herder;The Damnation of Faust;Love and Science;Skeleton of Horse;Eight Girls in a Barrel;Neptune's Daughters;The Broken Violin;Hero and Leander;Nordisk Films Kompagnis studier;Die Zirkusgräfin;;Work
The Lesson;Tih-Minh: Two Dramatic Events During the Night;;;How to Make Movies;;The Drunken Mattress;The Making of Broncho Billy;Davey Jones' Locker;Auch Faulheit kann von Nutzen sein;Clown and His Dogs;The Magician;The Mystical Flame;The Express Sculptor;Tweedledum Wants to Be a Jockey;The Aviator's Generosity;Menschen;;The Wonderful Wizard of Oz
What Drink Did;Tih-Minh: The Potion of Forgetfulness;;;;;Dance of the Seasons: Winter, Snow Dance;The Gun Packer;The Mysteries of Myra;Ein neuer Erwerbszweig;The Sculptor's Nightmare;Souvenir Strip of the Edison Kinetoscope;Faust in the Underworld;The Village Blind Man;Il re, le torri e gli alfieri;De dumme Mandfolk;Marionetten des Teufels;;The Kingdom of the Fairies
Under Burning Skies;Le portrait de Mireille;;;;;The Coming of Sunbeam;The Fighting Brothers;Sleepy Hollow;Das andere Ich;Spanish Clair de Lune;Partie d'écarté;The Boys Think They Have One on Foxy Grandpa, But He Fools Them;Games of Youth;Champagne caprice;Gæstespillet;Sybill Morgan;;A Man There Was
