usuario_base;vecinos;similaridad
josetteandriot;danielquinn;4.159113883878759
josetteandriot;uryenbg;5.148810335842012
josetteandriot;fshtravis;2.0908137117476775
josetteandriot;utges;2.090662313298202
josetteandriot;MarioIglesias;2.083842207462609
josetteandriot;Batty;2.079999361378575
josetteandriot;Carlos_;2.0787549986209335
josetteandriot;alvmb;2.0778917293419297
josetteandriot;nichedeath;2.0770450981196102
josetteandriot;Lobo_Lopez;2.0693082337646205
josetteandriot;firejuice;2.0495567445627563
josetteandriot;bergmantonioni;2.045188678142958
josetteandriot;Will_llermo;4.032082632877614
josetteandriot;hobbitillo;3.0301901913009575
josetteandriot;francorizzo;2.002394597208347
josetteandriot;Paula_Arantzazu;0.0
josetteandriot;Ivan_Suarez;1.0
josetteandriot;fraca1993;0.0
josetteandriot;RafaNasal_leFou;0.0
josetteandriot;Bracero;0.0
josetteandriot;mmgarnica;1.0
josetteandriot;Didacus;1.0
josetteandriot;marioquema;0.0
josetteandriot;Mann_Ohne_Namen;1.0
josetteandriot;Faure;1.0
josetteandriot;rafaqc97;1.0
josetteandriot;jjm_24;1.0
josetteandriot;JepGambardella;1.0
josetteandriot;RachelMyGod;1.0
josetteandriot;Saba1e7e;1.0
josetteandriot;FaildeGuionista;1.0
josetteandriot;SohoVictor;1.0
josetteandriot;ExplodingBoy;1.0
josetteandriot;JonSanSK8;1.0
josetteandriot;Colmener;1.0
josetteandriot;jal90;1.0
josetteandriot;diegoceprez;0.0
josetteandriot;bander7;1.0
josetteandriot;martasalvador;1.0
josetteandriot;carloslara;0.0
josetteandriot;Ninotchka;2.9964513084340156
josetteandriot;XaviPT;1.9925542498459088
josetteandriot;igortxu;1.9880414276766487
josetteandriot;isaac98tm;2.983380562052466
josetteandriot;Vareludo;1.968919673318528
josetteandriot;falgarin;2.9540438522772643
josetteandriot;cinesinfin;1.9440220819577054
josetteandriot;uwugorka;1.9322480101025976
josetteandriot;austrohungaro;2.926169208871496
josetteandriot;ezequiel2517;1.925576143491325
josetteandriot;mrtoldo;1.9222011137441313
josetteandriot;Alberto87FR;1.9204485269531868
josetteandriot;pele_alvaro;1.9124533728561999
josetteandriot;Ruben0;1.9100481616450662
josetteandriot;DanielEscaners;1.910028988812049
josetteandriot;synthemesco;2.8942940486807807
josetteandriot;Klepshydra;2.8935263041390353
josetteandriot;paloma55;2.8852588492628684
josetteandriot;mabusecaligari;4.867084527442545
josetteandriot;Angelopoulos;2.8470133510462894
josetteandriot;Padimo02;2.8458450619726396
josetteandriot;albertsyco_;2.8335520542525283
fraca1993;Bracero;4.182364272822591
fraca1993;uwugorka;4.155669038496291
fraca1993;Padimo02;3.12819612554285
fraca1993;pele_alvaro;3.116147422237372
fraca1993;albertsyco_;3.102555398732998
fraca1993;Angelopoulos;3.1019984895696036
fraca1993;alvmb;4.0868149314406885
fraca1993;DanielEscaners;2.065710295581798
fraca1993;uryenbg;2.0601871345714295
fraca1993;Alberto87FR;4.058830030135263
fraca1993;Vareludo;3.0542124281996137
fraca1993;utges;2.0478345354948577
fraca1993;austrohungaro;3.04608423012586
fraca1993;Pauixitador;2.0383599680516054
fraca1993;Batty;3.0353398505825187
fraca1993;igortxu;2.0325818237565842
fraca1993;hobbitillo;3.032303048335747
fraca1993;ExplodingBoy;2.0285469811619175
fraca1993;Ninotchka;2.0271056310906785
fraca1993;firejuice;2.0162830213916036
fraca1993;Lobo_Lopez;2.003018390305254
fraca1993;FaildeGuionista;3.0022220759456193
fraca1993;Paula_Arantzazu;1.0
fraca1993;Ruben0;1.0
fraca1993;Ivan_Suarez;1.0
fraca1993;josetteandriot;0.0
fraca1993;mabusecaligari;1.0
fraca1993;bergmantonioni;1.0
fraca1993;paloma55;1.0
fraca1993;Carlos_;0.0
fraca1993;ezequiel2517;0.0
fraca1993;Will_llermo;1.0
fraca1993;RachelMyGod;1.0
fraca1993;Saba1e7e;1.0
fraca1993;isaac98tm;1.0
fraca1993;SohoVictor;1.0
fraca1993;Colmener;0.0
fraca1993;jal90;1.0
fraca1993;diegoceprez;0.0
fraca1993;mrtoldo;1.0
fraca1993;falgarin;1.0
fraca1993;danielquinn;2.9961221094759685
fraca1993;Faure;2.992728065382861
fraca1993;aaleeeex;1.98803471913239
fraca1993;synthemesco;1.9813540325409271
fraca1993;MarioIglesias;1.9699097370942154
fraca1993;JepGambardella;2.9647954201521785
fraca1993;rafaqc97;3.9584813174431126
fraca1993;francorizzo;2.95497630125521
fraca1993;fshtravis;1.9520599595543244
fraca1993;mmgarnica;1.9419377117739403
fraca1993;jjm_24;2.940310920555952
fraca1993;Mann_Ohne_Namen;2.934574113189849
fraca1993;Klepshydra;1.9336831439733486
fraca1993;bander7;1.9280495801189943
fraca1993;XaviPT;4.926952798920458
fraca1993;cinesinfin;2.9194124204796292
fraca1993;martasalvador;1.918603693414869
fraca1993;malala;1.9092483046686615
fraca1993;Didacus;1.909122617746649
fraca1993;nichedeath;2.8984736934454327
fraca1993;marioquema;2.8621948614399524
fraca1993;carloslara;2.8588709210884535
fraca1993;RafaNasal_leFou;2.846294905351092
fraca1993;JonSanSK8;4.823320701729049
Ninotchka;fshtravis;12.37606818144321
Ninotchka;mmgarnica;13.320386802638296
Ninotchka;Angelopoulos;11.278040326316471
Ninotchka;Batty;14.23130254704727
Ninotchka;hobbitillo;13.229933072432939
Ninotchka;DanielEscaners;8.227670157965905
Ninotchka;Alberto87FR;11.214279766414627
Ninotchka;SohoVictor;6.208857297853014
Ninotchka;Didacus;8.191112248308253
Ninotchka;Carlos_;5.188331245421762
Ninotchka;RachelMyGod;13.16658743148895
Ninotchka;aaleeeex;9.158783005038732
Ninotchka;paloma55;13.153533476532068
Ninotchka;nichedeath;14.135262946524016
Ninotchka;Klepshydra;12.128049918889417
Ninotchka;diegoceprez;4.126953264117767
Ninotchka;igortxu;11.123873194953253
Ninotchka;falgarin;6.102084627608176
Ninotchka;bander7;9.101563250818332
Ninotchka;ezequiel2517;4.097612566032469
Ninotchka;Faure;15.09394221030148
Ninotchka;Lobo_Lopez;7.085450285168982
Ninotchka;Paula_Arantzazu;3.076896904427272
Ninotchka;synthemesco;15.072739435441513
Ninotchka;danielquinn;14.052095931569172
Ninotchka;albertsyco_;15.043810818902038
Ninotchka;austrohungaro;10.035519039038379
Ninotchka;utges;14.034377491300761
Ninotchka;carloslara;9.031116285695736
Ninotchka;Will_llermo;8.028902415334464
Ninotchka;fraca1993;2.0271056310906785
Ninotchka;bergmantonioni;9.019404649694787
Ninotchka;JonSanSK8;10.017307831236147
Ninotchka;uwugorka;5.0139298279130005
Ninotchka;Mann_Ohne_Namen;13.004616794686974
Ninotchka;Saba1e7e;8.001571317956474
Ninotchka;uryenbg;10.997094062259986
Ninotchka;josetteandriot;2.9964513084340156
Ninotchka;alvmb;13.987711282813345
Ninotchka;isaac98tm;8.985264158275788
Ninotchka;Pauixitador;5.977152381441345
Ninotchka;RafaNasal_leFou;3.97712020906868
Ninotchka;Vareludo;11.970689537388342
Ninotchka;FaildeGuionista;8.96892242171761
Ninotchka;pele_alvaro;9.96888716728212
Ninotchka;JepGambardella;12.960502217757936
Ninotchka;Bracero;5.958618802419804
Ninotchka;Ruben0;3.957721076674223
Ninotchka;jjm_24;14.954274213662458
Ninotchka;Colmener;5.9410052005985206
Ninotchka;jal90;5.937193697824117
Ninotchka;malala;7.937038447501066
Ninotchka;francorizzo;6.925011169076237
Ninotchka;MarioIglesias;3.9179655847628343
Ninotchka;Padimo02;8.898386555983569
Ninotchka;firejuice;7.894453551908921
Ninotchka;rafaqc97;7.893485868812293
Ninotchka;marioquema;2.8531072489334033
Ninotchka;cinesinfin;8.848281658166826
Ninotchka;ExplodingBoy;5.830408681861051
Ninotchka;martasalvador;6.808545288130274
Ninotchka;Ivan_Suarez;8.786783666462872
Ninotchka;mrtoldo;4.782436481918099
Ninotchka;XaviPT;6.756722682384105
Ninotchka;mabusecaligari;6.745818965482055
Angelopoulos;hobbitillo;10.29576040407235
Angelopoulos;albertsyco_;10.278838449583324
Angelopoulos;Ninotchka;11.278040326316471
Angelopoulos;Faure;10.275977617339889
Angelopoulos;mmgarnica;10.262011395745247
Angelopoulos;isaac98tm;6.260728356566878
Angelopoulos;austrohungaro;5.234037501381843
Angelopoulos;Didacus;5.231218966520901
Angelopoulos;Batty;9.210532080144436
Angelopoulos;Carlos_;4.2077545473376015
Angelopoulos;igortxu;6.204281046021908
Angelopoulos;DanielEscaners;8.201958182636412
Angelopoulos;RachelMyGod;5.17898199571445
Angelopoulos;fshtravis;6.169423404800793
Angelopoulos;Ruben0;3.1644352811622998
Angelopoulos;paloma55;6.160176097000146
Angelopoulos;aaleeeex;7.153685713775444
Angelopoulos;uryenbg;9.133718327224486
Angelopoulos;utges;8.133496627337065
Angelopoulos;ezequiel2517;3.1240244298301074
Angelopoulos;Bracero;6.117556734549575
Angelopoulos;Alberto87FR;10.116923525759189
Angelopoulos;Klepshydra;8.108282744757
Angelopoulos;fraca1993;3.1019984895696036
Angelopoulos;pele_alvaro;8.098314523586353
Angelopoulos;Will_llermo;8.095153687524416
Angelopoulos;SohoVictor;2.0895694073256053
