Title,Year,Review
Four Adventures of Reinette and Mirabelle,1987,6 puntos con 2 menciones
Groundhog Day,1993,6 puntos con 2 menciones
Hail Mary,1985,6 puntos con 2 menciones
Hatari!,1962,6 puntos con 2 menciones
Kwaidan,1964,6 puntos con 2 menciones
Lancelot of the Lake,1974,6 puntos con 2 menciones
Me and My Gal,1932,6 puntos con 2 menciones
Moonrise,1948,6 puntos con 2 menciones
Only Yesterday,1991,6 puntos con 2 menciones
Pauline at the Beach,1983,6 puntos con 2 menciones
Soft Fiction,1979,6 puntos con 2 menciones
"Suddenly, Last Summer",1959,6 puntos con 2 menciones
The Dreamed Films,2010,6 puntos con 2 menciones
The Illiac Passion,1967,6 puntos con 2 menciones
The Philadelphia Story,1940,6 puntos con 2 menciones
The Wrong Man,1956,6 puntos con 2 menciones
These Encounters of Theirs,2006,6 puntos con 2 menciones
Twin Peaks: The Return,2017,6 puntos con 2 menciones
Two for the Road,1967,6 puntos con 2 menciones
Vive L'Amour,1994,6 puntos con 2 menciones
"Wait Till the Sun Shines, Nellie",1952,6 puntos con 2 menciones
We're All Still Here,1997,6 puntos con 2 menciones
Hours for Jerome,1982,5 puntos con 4 menciones
Paths of Glory,1957,5 puntos con 4 menciones
The Bridges of Madison County,1995,5 puntos con 4 menciones
The Ghost and Mrs. Muir,1947,5 puntos con 4 menciones
The Hole,1998,5 puntos con 4 menciones
Wendy and Lucy,2008,5 puntos con 4 menciones
Written on the Wind,1956,5 puntos con 4 menciones
A Woman's Revenge,2012,5 puntos con 3 menciones
Antigone,1992,5 puntos con 3 menciones
Fort Apache,1948,5 puntos con 3 menciones
Kiss Me Deadly,1955,5 puntos con 3 menciones
La Notte,1961,5 puntos con 3 menciones
Le Tempestaire,1947,5 puntos con 3 menciones
Les Hautes solitudes,1974,5 puntos con 3 menciones
Pain and Glory,2019,5 puntos con 3 menciones
Scarlet Street,1945,5 puntos con 3 menciones
Suspiria,1977,5 puntos con 3 menciones
Ten Skies,2004,5 puntos con 3 menciones
The Bad and the Beautiful,1952,5 puntos con 3 menciones
The Leopard,1963,5 puntos con 3 menciones
The Theatre of the Matters,1977,5 puntos con 3 menciones
The Trial,1962,5 puntos con 3 menciones
The Umbrellas of Cherbourg,1964,5 puntos con 3 menciones
Too Early / Too Late,1981,5 puntos con 3 menciones
Tropical Malady,2004,5 puntos con 3 menciones
Trouble in Paradise,1932,5 puntos con 3 menciones
U.S. Go Home,1994,5 puntos con 3 menciones
Vivre Sa Vie,1962,5 puntos con 3 menciones
When Harry Met Sally...,1989,5 puntos con 3 menciones
Where Does Your Hidden Smile Lie?,2001,5 puntos con 3 menciones
Where Is My Friend's House?,1987,5 puntos con 3 menciones
Zodiac,2007,5 puntos con 3 menciones
A Child’s Garden and the Serious Sea,1991,5 puntos con 2 menciones
A Matter of Life and Death,1946,5 puntos con 2 menciones
Ali: Fear Eats the Soul,1974,5 puntos con 2 menciones
All About Lily Chou-Chou,2001,5 puntos con 2 menciones
An Autumn Tale,1998,5 puntos con 2 menciones
Beau Travail,1999,5 puntos con 2 menciones
Benilde or the Virgin Mother,1975,5 puntos con 2 menciones
Blood of the Beasts,1949,5 puntos con 2 menciones
Boogie Nights,1997,5 puntos con 2 menciones
Broadcast News,1987,5 puntos con 2 menciones
Certain Women,2016,5 puntos con 2 menciones
Condemned,1953,5 puntos con 2 menciones
Days of Hope,1939,5 puntos con 2 menciones
"Dr. Mabuse, the Gambler",1922,5 puntos con 2 menciones
Early Summer,1951,5 puntos con 2 menciones
Floating Clouds,1955,5 puntos con 2 menciones
Flowers of Shanghai,1998,5 puntos con 2 menciones
Grass,2018,5 puntos con 2 menciones
"I Was Born, But...",1932,5 puntos con 2 menciones
Laura,1944,5 puntos con 2 menciones
Memoria,2021,5 puntos con 2 menciones
Mikey and Nicky,1976,5 puntos con 2 menciones
Othon,1970,5 puntos con 2 menciones
Portrait of Jennie,1948,5 puntos con 2 menciones
Puce Moment,1949,5 puntos con 2 menciones
Regular Lovers,2005,5 puntos con 2 menciones
Rope,1948,5 puntos con 2 menciones
Scenes from Under Childhood,1970,5 puntos con 2 menciones
Simone Barbès or Virtue,1980,5 puntos con 2 menciones
Sometimes a Great Notion,1971,5 puntos con 2 menciones
Stranger Than Paradise,1984,5 puntos con 2 menciones
Strangers When We Meet,1960,5 puntos con 2 menciones
Street of Shame,1956,5 puntos con 2 menciones
Taste of Cherry,1997,5 puntos con 2 menciones
The Battle of Algiers,1966,5 puntos con 2 menciones
The Company of Wolves,1984,5 puntos con 2 menciones
The Double Life of Véronique,1991,5 puntos con 2 menciones
The Hustler,1961,5 puntos con 2 menciones
The Vampires of Poverty,1977,5 puntos con 2 menciones
They All Laughed,1981,5 puntos con 2 menciones
Train of Shadows,1997,5 puntos con 2 menciones
Wild Strawberries,1957,5 puntos con 2 menciones
Young Mr. Lincoln,1939,5 puntos con 2 menciones
eXistenZ,1999,5 puntos con 2 menciones
88:88,2015,5 puntos con 1 menciones
Allures,1961,5 puntos con 1 menciones
Beijing Watermelon,1989,5 puntos con 1 menciones
Commingled Containers,1996,5 puntos con 1 menciones
Drugstore Romance,1979,5 puntos con 1 menciones
Hadj Cheriff,1894,5 puntos con 1 menciones
"I Was at Home, But . . .",2019,5 puntos con 1 menciones
L’homme atlantique,1981,5 puntos con 1 menciones
Melancholia,2011,5 puntos con 1 menciones
Oh! Man,2004,5 puntos con 1 menciones
Providence,1977,5 puntos con 1 menciones
Scarface,1932,5 puntos con 1 menciones
Shoah,1985,5 puntos con 1 menciones
Sleep Has Her House,2017,5 puntos con 1 menciones
Solaris,1972,5 puntos con 1 menciones
The Death of Maria Malibran,1972,5 puntos con 1 menciones
The Eleventh Year,1928,5 puntos con 1 menciones
The Exiles,1961,5 puntos con 1 menciones
The Mill on the Po,1949,5 puntos con 1 menciones
The Reconquest,2016,5 puntos con 1 menciones
The Shout,1978,5 puntos con 1 menciones
Year of the Dragon,1985,5 puntos con 1 menciones
Sound of the Mountain,1954,4 puntos con 4 menciones
A Talking Picture,2003,4 puntos con 3 menciones
Au Hasard Balthazar,1966,4 puntos con 3 menciones
Breathless,1960,4 puntos con 3 menciones
Close-Up,1990,4 puntos con 3 menciones
Femme Fatale,2002,4 puntos con 3 menciones
Friday Night,2002,4 puntos con 3 menciones
Nostalgia,1983,4 puntos con 3 menciones
Showgirls,1995,4 puntos con 3 menciones
Stars in My Crown,1950,4 puntos con 3 menciones
The Happening,2008,4 puntos con 3 menciones
Under the Skin,2013,4 puntos con 3 menciones
7 Women,1966,4 puntos con 2 menciones
Arnulf Rainer,1960,4 puntos con 2 menciones
Assault on Precinct 13,1976,4 puntos con 2 menciones
August in the Water,1995,4 puntos con 2 menciones
Bent Time,1983,4 puntos con 2 menciones
Blaise Pascal,1972,4 puntos con 2 menciones
Cinema Paradiso,1988,4 puntos con 2 menciones
City Girl,1930,4 puntos con 2 menciones
Dead Ringers,1988,4 puntos con 2 menciones
Enamorada,1946,4 puntos con 2 menciones
Entranced Earth,1967,4 puntos con 2 menciones
Frisco Jenny,1932,4 puntos con 2 menciones
Fuego en Castilla (Tactilvisión del páramo del espanto),1961,4 puntos con 2 menciones
Grand Illusion,1937,4 puntos con 2 menciones
Home from the Hill,1960,4 puntos con 2 menciones
In Front of Your Face,2021,4 puntos con 2 menciones
In a Year with 13 Moons,1978,4 puntos con 2 menciones
Inferno,1980,4 puntos con 2 menciones
Invasion of the Body Snatchers,1956,4 puntos con 2 menciones
Irma Vep,1996,4 puntos con 2 menciones
King of New York,1990,4 puntos con 2 menciones
La Collectionneuse,1967,4 puntos con 2 menciones
Le Samouraï,1967,4 puntos con 2 menciones
Million Dollar Baby,2004,4 puntos con 2 menciones
Nostos: The Return,1989,4 puntos con 2 menciones
On the Beach at Night Alone,2017,4 puntos con 2 menciones
Other Men's Women,1931,4 puntos con 2 menciones
Out of the Past,1947,4 puntos con 2 menciones
Peeping Tom,1960,4 puntos con 2 menciones
Pickpocket,1959,4 puntos con 2 menciones
Point Break,1991,4 puntos con 2 menciones
Raging Bull,1980,4 puntos con 2 menciones
Route One/USA,1989,4 puntos con 2 menciones
Ruby Gentry,1952,4 puntos con 2 menciones
Smilin' Through,1941,4 puntos con 2 menciones
Sound and Fury,1988,4 puntos con 2 menciones
That Most Important Thing: Love,1975,4 puntos con 2 menciones
The Bitter Tea of General Yen,1933,4 puntos con 2 menciones
The Bride of Frankenstein,1935,4 puntos con 2 menciones
The Deer Hunter,1978,4 puntos con 2 menciones
The General,1926,4 puntos con 2 menciones
The Graduate,1967,4 puntos con 2 menciones
The Lords of Salem,2012,4 puntos con 2 menciones
The Second Night,2016,4 puntos con 2 menciones
The Sky Socialist,1968,4 puntos con 2 menciones
The Whip and the Body,1963,4 puntos con 2 menciones
The Women,1939,4 puntos con 2 menciones
They Died with Their Boots On,1941,4 puntos con 2 menciones
Tríptico Elemental de España,1996,4 puntos con 2 menciones
Twenty Years Later,1984,4 puntos con 2 menciones
Ulysses' Gaze,1995,4 puntos con 2 menciones
Unforgiven,1992,4 puntos con 2 menciones
We Can't Go Home Again,1973,4 puntos con 2 menciones
"What Places of Heaven, What Planets Directed, How Long the Effects? or, The General Accidents of the World",2013,4 puntos con 2 menciones
Winchester '73,1950,4 puntos con 2 menciones
You Only Live Once,1937,4 puntos con 2 menciones
¡Que vivan los crotos!,1990,4 puntos con 2 menciones
1900,1976,4 puntos con 1 menciones
A King in New York,1957,4 puntos con 1 menciones
A Lake,2008,4 puntos con 1 menciones
All Star Video,1985,4 puntos con 1 menciones
Alyonka,1962,4 puntos con 1 menciones
Anomalisa,2015,4 puntos con 1 menciones
Antigone,1958,4 puntos con 1 menciones
Artemide's Knee,2008,4 puntos con 1 menciones
Awaara,1951,4 puntos con 1 menciones
Back to the Future,1985,4 puntos con 1 menciones
Bamako,2006,4 puntos con 1 menciones
Barren Illusion,1999,4 puntos con 1 menciones
Black Sunday,1960,4 puntos con 1 menciones
Brazil,1985,4 puntos con 1 menciones
Captain Kronos: Vampire Hunter,1974,4 puntos con 1 menciones
Charade,1963,4 puntos con 1 menciones
Children of Paradise,1945,4 puntos con 1 menciones
Collateral,2004,4 puntos con 1 menciones
Dangerous Encounters of the First Kind,1980,4 puntos con 1 menciones
Days of Wine and Roses,1962,4 puntos con 1 menciones
"Distant Voices, Still Lives",1988,4 puntos con 1 menciones
Drug War,2012,4 puntos con 1 menciones
Fireworks,2000,4 puntos con 1 menciones
Force of Evil,1948,4 puntos con 1 menciones
Gaucín,2020,4 puntos con 1 menciones
Harlan County U.S.A.,1976,4 puntos con 1 menciones
Honour of the Knights,2006,4 puntos con 1 menciones
I Know Where I'm Going!,1945,4 puntos con 1 menciones
India: Matri Bhumi,1959,4 puntos con 1 menciones
It Happened One Night,1934,4 puntos con 1 menciones
"Ivan the Terrible, Part II: The Boyars' Plot",1958,4 puntos con 1 menciones
"Je, Tu, Il, Elle",1974,4 puntos con 1 menciones
L'Enfant secret,1982,4 puntos con 1 menciones
Lacrima Christi,1980,4 puntos con 1 menciones
Lady Windermere's Fan,1925,4 puntos con 1 menciones
Let's Go with Pancho Villa!,1936,4 puntos con 1 menciones
Level Five,1997,4 puntos con 1 menciones
Modern Times,1936,4 puntos con 1 menciones
Mon Oncle,1958,4 puntos con 1 menciones
Mother and Son,1997,4 puntos con 1 menciones
My Ain Folk,1973,4 puntos con 1 menciones
My Childhood,1972,4 puntos con 1 menciones
My Way Home,1978,4 puntos con 1 menciones
Nocturama,2016,4 puntos con 1 menciones
Nouvelle Vague,1990,4 puntos con 1 menciones
Once Upon a Time in America,1984,4 puntos con 1 menciones
Onibaba,1964,4 puntos con 1 menciones
Out-Takes from the Life of a Happy Man,2012,4 puntos con 1 menciones
Pajarito Gómez,1965,4 puntos con 1 menciones
Prelude,1996,4 puntos con 1 menciones
Pulp Fiction,1994,4 puntos con 1 menciones
Rab Ne Bana Di Jodi,2008,4 puntos con 1 menciones
Red Desert,1964,4 puntos con 1 menciones
Reflections of Evil,2002,4 puntos con 1 menciones
Remember to Live,1953,4 puntos con 1 menciones
Repulsion,1965,4 puntos con 1 menciones
"Roulement, rouerie, aubage",1978,4 puntos con 1 menciones
Runaway,2010,4 puntos con 1 menciones
Running Out of Time,1999,4 puntos con 1 menciones
Scénario du film Passion,1982,4 puntos con 1 menciones
Siddheshwari,1990,4 puntos con 1 menciones
Son nom de Venise dans Calcutta désert,1976,4 puntos con 1 menciones
Street Angel,1928,4 puntos con 1 menciones
Street Scene,1931,4 puntos con 1 menciones
Sullivan's Travels,1941,4 puntos con 1 menciones
Take My Eyes,2003,4 puntos con 1 menciones
Temenos,1998,4 puntos con 1 menciones
The 400 Blows,1959,4 puntos con 1 menciones
The Big Parade,1925,4 puntos con 1 menciones
The Blood Spattered Bride,1972,4 puntos con 1 menciones
The Boxer's Omen,1983,4 puntos con 1 menciones
The Great Art of Knowing,2004,4 puntos con 1 menciones
