,Pos,Titulo,Anio,url,Puntos
175,1,New Rose Hotel,1998,https://letterboxd.com/pele_alvaro/list/top-filmtuiter/detail,5
176,2,The Mother and the Whore,1973,https://letterboxd.com/pele_alvaro/list/top-filmtuiter/detail,4
177,3,The Hart of London,1970,https://letterboxd.com/pele_alvaro/list/top-filmtuiter/detail,4
178,4,Nouvelle Vague,1990,https://letterboxd.com/pele_alvaro/list/top-filmtuiter/detail,4
179,5,The Long Gray Line,1955,https://letterboxd.com/pele_alvaro/list/top-filmtuiter/detail,3
180,6,Vertigo,1958,https://letterboxd.com/pele_alvaro/list/top-filmtuiter/detail,3
181,7,Lou Didn't Say No,1994,https://letterboxd.com/pele_alvaro/list/top-filmtuiter/detail,3
182,8,A Woman Under the Influence,1974,https://letterboxd.com/pele_alvaro/list/top-filmtuiter/detail,3
183,9,India Song,1975,https://letterboxd.com/pele_alvaro/list/top-filmtuiter/detail,3
184,10,Histoire(s) du cinéma,1998,https://letterboxd.com/pele_alvaro/list/top-filmtuiter/detail,2
185,11,The Sound of the Shaking Earth,1990,https://letterboxd.com/pele_alvaro/list/top-filmtuiter/detail,2
186,12,Gertrud,1964,https://letterboxd.com/pele_alvaro/list/top-filmtuiter/detail,2
187,13,The Story of Marie and Julien,2003,https://letterboxd.com/pele_alvaro/list/top-filmtuiter/detail,2
188,14,The Quiet Man,1952,https://letterboxd.com/pele_alvaro/list/top-filmtuiter/detail,2
189,15,Inland Empire,2006,https://letterboxd.com/pele_alvaro/list/top-filmtuiter/detail,2
190,16,Sound and Fury,1988,https://letterboxd.com/pele_alvaro/list/top-filmtuiter/detail,2
191,17,Les Hautes solitudes,1974,https://letterboxd.com/pele_alvaro/list/top-filmtuiter/detail,1
192,18,El sur,1983,https://letterboxd.com/pele_alvaro/list/top-filmtuiter/detail,1
193,19,Yi Yi,2000,https://letterboxd.com/pele_alvaro/list/top-filmtuiter/detail,1
194,20,Hovering Over the Water,1986,https://letterboxd.com/pele_alvaro/list/top-filmtuiter/detail,1
195,21,Blow Out,1981,https://letterboxd.com/pele_alvaro/list/top-filmtuiter/detail,1
196,22,Dog Star Man,1965,https://letterboxd.com/pele_alvaro/list/top-filmtuiter/detail,1
197,23,Late Spring,1949,https://letterboxd.com/pele_alvaro/list/top-filmtuiter/detail,1
198,24,I Did Not Die,2008,https://letterboxd.com/pele_alvaro/list/top-filmtuiter/detail,1
199,25,La Jetée,1962,https://letterboxd.com/pele_alvaro/list/top-filmtuiter/detail,1
200,1,Shoah,1985,https://letterboxd.com/Mann_Ohne_Namen/list/top-filmtuiter/detail,5
201,2,The Man Who Shot Liberty Valance,1962,https://letterboxd.com/Mann_Ohne_Namen/list/top-filmtuiter/detail,4
202,3,Three Colors: Red,1994,https://letterboxd.com/Mann_Ohne_Namen/list/top-filmtuiter/detail,4
203,4,The Great Beauty,2013,https://letterboxd.com/Mann_Ohne_Namen/list/top-filmtuiter/detail,4
204,5,Vertigo,1958,https://letterboxd.com/Mann_Ohne_Namen/list/top-filmtuiter/detail,3
205,6,The Leopard,1963,https://letterboxd.com/Mann_Ohne_Namen/list/top-filmtuiter/detail,3
206,7,Unforgiven,1992,https://letterboxd.com/Mann_Ohne_Namen/list/top-filmtuiter/detail,3
207,8,Ali: Fear Eats the Soul,1974,https://letterboxd.com/Mann_Ohne_Namen/list/top-filmtuiter/detail,3
208,9,Touch of Evil,1958,https://letterboxd.com/Mann_Ohne_Namen/list/top-filmtuiter/detail,3
209,10,Once Upon a Time in the West,1968,https://letterboxd.com/Mann_Ohne_Namen/list/top-filmtuiter/detail,2
210,11,Pat Garrett & Billy the Kid,1973,https://letterboxd.com/Mann_Ohne_Namen/list/top-filmtuiter/detail,2
211,12,Army of Shadows,1969,https://letterboxd.com/Mann_Ohne_Namen/list/top-filmtuiter/detail,2
212,13,Le Trou,1960,https://letterboxd.com/Mann_Ohne_Namen/list/top-filmtuiter/detail,2
213,14,The Tarnished Angels,1957,https://letterboxd.com/Mann_Ohne_Namen/list/top-filmtuiter/detail,2
214,15,The Thing,1982,https://letterboxd.com/Mann_Ohne_Namen/list/top-filmtuiter/detail,2
215,16,Mulholland Drive,2001,https://letterboxd.com/Mann_Ohne_Namen/list/top-filmtuiter/detail,2
216,17,"Hail, Sarajevo",1993,https://letterboxd.com/Mann_Ohne_Namen/list/top-filmtuiter/detail,1
217,18,An Affair to Remember,1957,https://letterboxd.com/Mann_Ohne_Namen/list/top-filmtuiter/detail,1
218,19,Yi Yi,2000,https://letterboxd.com/Mann_Ohne_Namen/list/top-filmtuiter/detail,1
219,20,2001: A Space Odyssey,1968,https://letterboxd.com/Mann_Ohne_Namen/list/top-filmtuiter/detail,1
220,21,The Best Years of Our Lives,1946,https://letterboxd.com/Mann_Ohne_Namen/list/top-filmtuiter/detail,1
221,22,Carlito's Way,1993,https://letterboxd.com/Mann_Ohne_Namen/list/top-filmtuiter/detail,1
222,23,All Hands on Deck!,2020,https://letterboxd.com/Mann_Ohne_Namen/list/top-filmtuiter/detail,1
223,24,Les Deux mémoires,1974,https://letterboxd.com/Mann_Ohne_Namen/list/top-filmtuiter/detail,1
224,25,"Black Cat, White Cat",1998,https://letterboxd.com/Mann_Ohne_Namen/list/top-filmtuiter/detail,1
225,1,La Flor,2018,https://letterboxd.com/natefisher/list/top-filmtuiter/detail,5
226,2,Mulholland Drive,2001,https://letterboxd.com/natefisher/list/top-filmtuiter/detail,4
227,3,Inland Empire,2006,https://letterboxd.com/natefisher/list/top-filmtuiter/detail,4
228,4,The Dreamed Films,2010,https://letterboxd.com/natefisher/list/top-filmtuiter/detail,4
229,5,As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,2000,https://letterboxd.com/natefisher/list/top-filmtuiter/detail,3
230,6,Persona,1966,https://letterboxd.com/natefisher/list/top-filmtuiter/detail,3
231,7,Histoire(s) du cinéma,1998,https://letterboxd.com/natefisher/list/top-filmtuiter/detail,3
232,8,Tríptico Elemental de España,1996,https://letterboxd.com/natefisher/list/top-filmtuiter/detail,3
233,9,The Lord of the Rings: The Fellowship of the Ring,2001,https://letterboxd.com/natefisher/list/top-filmtuiter/detail,3
234,10,Vertigo,1958,https://letterboxd.com/natefisher/list/top-filmtuiter/detail,2
235,11,Los Angeles Plays Itself,2003,https://letterboxd.com/natefisher/list/top-filmtuiter/detail,2
236,12,At the Horizon,2017,https://letterboxd.com/natefisher/list/top-filmtuiter/detail,2
237,13,Hiroshima Mon Amour,1959,https://letterboxd.com/natefisher/list/top-filmtuiter/detail,2
238,14,La Notte,1961,https://letterboxd.com/natefisher/list/top-filmtuiter/detail,2
239,15,Blow Out,1981,https://letterboxd.com/natefisher/list/top-filmtuiter/detail,2
240,16,Wavelength,1967,https://letterboxd.com/natefisher/list/top-filmtuiter/detail,2
241,17,Sunset Boulevard,1950,https://letterboxd.com/natefisher/list/top-filmtuiter/detail,1
242,18,Brief Encounter,1945,https://letterboxd.com/natefisher/list/top-filmtuiter/detail,1
243,19,El sur,1983,https://letterboxd.com/natefisher/list/top-filmtuiter/detail,1
244,20,The Village,2004,https://letterboxd.com/natefisher/list/top-filmtuiter/detail,1
245,21,Cries and Whispers,1972,https://letterboxd.com/natefisher/list/top-filmtuiter/detail,1
246,22,Contempt,1963,https://letterboxd.com/natefisher/list/top-filmtuiter/detail,1
247,23,Heat,1995,https://letterboxd.com/natefisher/list/top-filmtuiter/detail,1
248,24,"Scenes from Under Childhood, Section One",1968,https://letterboxd.com/natefisher/list/top-filmtuiter/detail,1
249,25,The Bridges of Madison County,1995,https://letterboxd.com/natefisher/list/top-filmtuiter/detail,1
250,1,The Searchers,1956,https://letterboxd.com/mmgarnica/list/top-filmtuiter/detail,5
251,2,Broken Blossoms,1919,https://letterboxd.com/mmgarnica/list/top-filmtuiter/detail,4
252,3,Rio Bravo,1959,https://letterboxd.com/mmgarnica/list/top-filmtuiter/detail,4
253,4,Late Autumn,1960,https://letterboxd.com/mmgarnica/list/top-filmtuiter/detail,4
254,5,Vampyr,1932,https://letterboxd.com/mmgarnica/list/top-filmtuiter/detail,3
255,6,My Darling Clementine,1946,https://letterboxd.com/mmgarnica/list/top-filmtuiter/detail,3
