url_peli,Title,Year,tmdb_type,tmdb_id
/film/the-last-temptation-of-christ/,The Last Temptation of Christ,1988,movie,11051.0
/film/welcome-in-vienna/,Welcome in Vienna,1985,movie,155206.0
/film/grim-1985/,Grim,1985,movie,283869.0
/film/rouge/,Rouge,1987,movie,68883.0
/film/the-dante-quartet/,The Dante Quartet,1987,movie,126194.0
/film/the-princess-bride/,The Princess Bride,1987,movie,2493.0
/film/a-nightmare-on-elm-street-3-dream-warriors/,A Nightmare on Elm Street 3: Dream Warriors,1987,movie,10072.0
/film/beirut-my-city/,"Beirut, My City",1983,movie,489107.0
/film/daughter-of-the-nile/,Daughter of the Nile,1987,movie,99599.0
/film/el-crack-dos/,El crack dos,1983,movie,60854.0
/film/fake-fruit-factory/,Fake Fruit Factory,1986,movie,150711.0
/film/impressions-from-the-upper-atmosphere/,Impressions from the Upper Atmosphere,1989,movie,264638.0
/film/messages-1984/,Messages,1984,movie,361921.0
/film/the-home-and-the-world/,The Home and the World,1984,movie,42092.0
/film/busu/,BU・SU,1987,movie,204529.0
/film/cada-ver-es/,Cada ver es...,1983,movie,445183.0
/film/despues-de-primera-parte-no-se-os-puede-dejar-solos/,Después de… Primera parte: no se os puede dejar solos,1981,movie,316174.0
/film/mati-manas/,Mati Manas,1985,movie,257573.0
/film/mommie-dearest/,Mommie Dearest,1981,movie,15660.0
/film/out-of-africa/,Out of Africa,1985,movie,606.0
/film/the-plague-dogs/,The Plague Dogs,1982,movie,30060.0
/film/the-water-of-the-seine/,The Water of the Seine,1983,movie,474143.0
/film/dangerous-liaisons/,Dangerous Liaisons,1988,movie,859.0
/film/the-long-good-friday/,The Long Good Friday,1980,movie,14807.0
/film/a-room-in-town-1982/,A Room in Town,1982,movie,4269.0
