url_peli,Title,Year,tmdb_type,tmdb_id
/film/safo-historia-de-una-pasion/,"Safo, historia de una pasión",1943,movie,501905.0
/film/surcos-de-sangre/,Surcos de sangre,1950,movie,446026.0
/film/the-princess-of-france/,The Princess of France,2014,movie,284870.0
/film/que-vivan-los-crotos/,¡Que vivan los crotos!,1990,movie,379044.0
/film/antonio-one-two-three/,Antonio One Two Three,2017,movie,434468.0
/film/bitter-cane/,Bitter Cane,1983,movie,970138.0
/film/bordando-la-frontera/,Bordando la frontera,1986,movie,963040
/film/chuquiago/,Chuquiago,1977,movie,317328.0
/film/communique-from-argentina/,Communiqué From Argentina,1978,movie,1410782.0
/film/cronos/,Cronos,1992,movie,11655.0
/film/endless-poetry/,Endless Poetry,2016,movie,325385.0
/film/god-bless-you/,God Bless You,1948,movie,188353.0
/film/guanabacoa-chronicle-of-my-family/,Guanabacoa: Chronicle of My Family,1966,movie,593186.0
/film/im-still-here-2024/,I'm Still Here,2024,movie,1000837.0
/film/identifying-features/,Identifying Features,2020,movie,653658.0
/film/killed-the-family-and-went-to-the-movies-1969/,Killed the Family and Went to the Movies,1969,movie,175125.0
/film/longitud-de-guerra/,Longitud de Guerra,1976,movie,341323.0
/film/mata-atlantica/,Mata Atlântica,2016,movie,420213.0
/film/miss-mary/,Miss Mary,1986,movie,241603.0
/film/neighboring-sounds/,Neighboring Sounds,2012,movie,97989.0
/film/orpheus-and-eurydice-1976/,Orpheus and Eurydice,1976,movie,1183426.0
/film/pixote/,Pixote,1980,movie,42148
/film/puchuncavi/,Puchuncaví,2014,movie,475786.0
/film/spectrum-restoration/,Spectrum Restoration,2022,movie,1001615.0
/film/stories-of-the-revolution/,Stories of the Revolution,1960,movie,215277.0
/film/story-of-a-great-love/,Story of a Great Love,1942,movie,240637
/film/teat-monteok-the-tale-of-the-god-of-lightning/,Teat Monteok: The Tale of the God of Lightning,1985,movie,833029.0
/film/the-enemy-blood/,The Enemy Blood,1971,movie,372095.0
/film/the-hand-in-the-trap/,The Hand in the Trap,1961,movie,121461.0
/film/the-heiresses/,The Heiresses,2018,movie,499152.0
/film/the-man-from-maisinicu/,The Man from Maisinicu,1973,movie,284366.0
/film/the-mouth-of-the-wolf-1988/,The Mouth of the Wolf,1988,movie,53123.0
/film/the-reasons-of-the-heart/,The Reasons of the Heart,2011,movie,85459.0
/film/the-rose-seller/,The Rose Seller,1998,movie,97038
/film/thresholds/,Thresholds,1980,movie,364167.0
/film/tlayucan/,Tlayucan,1962,movie,194163.0
/film/to-each-his-own-life/,To Each His Own Life,1960,movie,362015.0
/film/valentin-de-las-sierras/,Valentin de las Sierras,1968,movie,128285.0
/film/yanco/,Yanco,1961,movie,255576.0
/film/brazil-is-thee-haiti-is-there/,brazil is thee haiti is (t)here,2020,movie,739076.0
/film/sao-paulo-incorporated/,"São Paulo, Incorporated",1965,movie,74360.0
/film/central-station/,Central Station,1998,movie,666.0
/film/hardly-a-criminal/,Hardly a Criminal,1949,movie,252696.0
/film/odd-number/,Odd Number,1962,movie,304796.0
/film/runan-caycu/,Runan Caycu,1973,movie,518660.0
/film/the-circular-scene/,The Circular Scene,1982,movie,334850.0
/film/the-great-movement/,The Great Movement,2021,movie,854572.0
/film/through-the-ruins/,Through the Ruins,1982,movie,330988.0
/film/79-springs/,79 Springs,1969,movie,146346.0
/film/autopsy-of-a-ghost/,Autopsy of a Ghost,1968,movie,27497.0
/film/bang-bang-1971/,Bang Bang,1971,movie,173732.0
/film/chewing-gum-1968/,Chewing Gum,1968,movie,328986.0
/film/colombia-70/,Colombia 70,1970,movie,511976
/film/color-1955/,Color,1955,movie,455878.0
/film/dar-la-cara/,Dar la cara,1962,movie,501916.0
/film/dry-ground-burning/,Dry Ground Burning,2022,movie,928001.0
/film/el-aleph/,El Aleph,2005,movie,399678.0
/film/el-compadre-mendoza/,El compadre Mendoza,1934,movie,114626.0
/film/homework-1991/,Homework,1991,movie,205763.0
/film/i-the-worst-of-all/,"I, the Worst of All",1990,movie,123763.0
/film/julio-begins-in-july/,Julio Begins in July,1979,movie,107426.0
/film/la-choca/,La Choca,1974,movie,370974.0
/film/lets-go-with-pancho-villa/,Let's Go with Pancho Villa!,1936,movie,106266.0
/film/life-sentence-1979/,Life Sentence,1979,movie,116988.0
/film/man-facing-southeast/,Man Facing Southeast,1986,movie,48797.0
/film/maria-candelaria/,Maria Candelaria,1944,movie,60225.0
/film/nazareno-cruz-and-the-wolf/,Nazareno Cruz and the Wolf,1975,movie,127424.0
/film/night-falls/,Night Falls,1952,movie,194176.0
/film/no-es-por-gusto/,No es por gusto,1981,movie,678040.0
/film/nobodys-wife/,Nobody's Wife,1982,movie,127022.0
/film/o-canto-da-saudade/,O Canto da Saudade,1952,movie,194698.0
/film/on-the-empty-balcony/,On the Empty Balcony,1961,movie,291505.0
/film/our-voice-of-earth-memory-and-future/,"Our Voice of Earth, Memory and Future",1982,movie,272685.0
/film/p3nd3jo5/,P3nd3jo5,2013,movie,242143.0
