;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
934;;;;;;;;The Adventures of Buffalo Bill;;;;Jury de peinture;The Cheese Mites;Santos-Dumont Hydroplane;;;;
935;;;;;;;;Keno Bates, Liar;;;;L'arroseur arrosé;Charleston Chain-Gang;All Airplanes;;;;
936;;;;;;;;The Rattlesnake;;;;Evian : procession de la Fête-Dieu IV;Race for the Muratti Cup at Manchester Wheelers’ Annual Race Meet;Kong Frederik VIII's første Kongerevue;;;;
937;;;;;;;;Ben's Kid;;;;Evian : procession de la Fête-Dieu III;Danse Serpentine (In a Lion's Cage);The Legend of the Spinner;;;;
938;;;;;;;;The Cold Deck;;;;Evian : procession de la Fête-Dieu II;Spiders on a Web;Métempsycose;;;;
939;;;;;;;;The Sheriff of Stone Gulch;;;;The Tramp and the Dog;Halifax v Salford;The Gipsy's Warning;;;;
940;;;;;;;;Golden Rule Kate;;;;Bradford Town Hall Square;Babies Rolling Eggs;The Baffled Burglar;;;;
941;;;;;;;;The Man Without a Future;;;;Demolition of a Wall, I;AAA Championships at Fartown, Huddersfield;The James Boys in Missouri;;;;
942;;;;;;;;Two People;;;;Charge of the Cuirassiers;Eccentric Waltz;Héliogabale;;;;
943;;;;;;;;The Luck of Roaring Camp;;;;Midsummer Pilgrimage in a Czechoslavic Village;Dance of the Sylphs;Panoramic View of Market Street San Francisco After the Earthquake and Fire;;;;
944;;;;;;;;The Sergeant;;;;Ten Years in Manitoba;M. le Président de la République sur la Jetée Promenade;Geneviève de Brabant;;;;
945;;;;;;;;The Two Gold Diggers;;;;Something Good - Negro Kiss (Alternate Version);Vu générale de l'Exposition prise du Trocadéro;The Inexhaustible Barrel;;;;
946;;;;;;;;Past Redemption;;;;Rabbits;Maillane : défilé des tambourinaires;Sang espagnol;;;;
947;;;;;;;;The Railway of Death;;;;A Soldier's Unlucky Salutation;Lancement du 'Varèse' à Livourne;The Clock-Maker's Secret;;;;
948;;;;;;;;The Great Train Robbery;;;;D. Devant, Conjurer;Femmes portant des corbeilles;The Escape of the Ape;;;;
949;;;;;;;;Arms and the Gringo;;;;Conjurer Making Ten Hats in Sixty Seconds;La toilette du petit chien;In the Time of Rebellion;;;;
950;;;;;;;;The Prospector;;;;Miss de Vère - English Jig;Mont Dore: L'Etablissement thermal;Sherlock Holmes in the Great Murder Mystery;;;;
951;;;;;;;;The Mother of the Ranch;;;;Sous les tilleuls;The Christmas Angel;The Professor's Secret;;;;
952;;;;;;;;The Bank Robbery;;;;Suburban Handicap, 1897;Alcohol and Its Victims;Man Monkey;;;;
953;;;;;;;;From Leadville to Aspen: A Hold-Up in the Rockies;;;;Entrée du château dans le vieux Stockholm;Diving Lucy;Story of the Silk Moth;;;;
954;;;;;;;;The Tourists;;;;Jérusalem : la Voie douloureuse et entrée du Saint-Sépulcre;Treloar and Miss Marshall, Prize Winners at the Physical Culture Show in Madison Square Garden;La Grotte des esprits;;;;
955;;;;;;;;Under Burning Skies;;;;Piazza Termini;Panorama of Riker's Island, N.Y.;Enchanted Glasses;;;;
956;;;;;;;;Friends;;;;Pont de la Tour;Betsy Ross Dance;The Bell Ringer's Daughter;;;;
957;;;;;;;;The Struggle;;;;Potsdamer Platz;New York Harbor Police Boat Patrol Capturing Pirates;The Age of the Heart;;;;
958;;;;;;;;The Yaqui Cur;;;;Jaffa : Marché, I;Fireboat 'New Yorker' in Action;Passionate Drama;;;;
959;;;;;;;;Broncho Billy's Sentence;;;;Rue Sidi-Ben-Arous;Fireboat 'New Yorker' Answering an Alarm;The Wrestler's Wife;;;;
960;;;;;;;;Ramona;;;;Panorama des rives du Nil, [VII];Sorting Refuse at Incinerating Plant, New York City;The Magic Table;;;;
961;;;;;;;;How the Cowboy Makes His Lariat;;;;Procession à Séville;As in a Looking Glass;The Magic Hoop;;;;
962;;;;;;;;Broncho Billy's Fatal Joke;;;;Naples : Santa Lucia;New York City Dumping Wharf;The Next Door Neighbors;;;;
963;;;;;;;;Knight of the Trail;;;;Vieux port;White Wings on Review;Un jour de paye;;;;
964;;;;;;;;At Bear Track Gulch;;;;Port de la Joliette;Levi & Cohen, the Irish Comedians;Epileptic Seizure, No. 9;;;;
965;;;;;;;;The Good-for-Nothing;;;;Dublin, O'Connel Bridge;Opening of New East River Bridge, New York;Epileptic Seizure, No. 8;;;;
966;;;;;;;;The Invaders;;;;Panorama de l'arrivée à Belfast;Seeing New York by Yacht;Epileptic Seizure, No. 7;;;;
967;;;;;;;;The Narrow Trail;;;;Zermatt : Panorama dans les Alpes;The Execution;Epileptic Seizure, No. 6;;;;
968;;;;;;;;Luke Rides Roughshod;;;;Panorama du départ de la gare d’Ambérieu pris du train (temps de neige);Dagmar Hansen;Epileptic Seizure, No. 5;;;;
969;;;;;;;;Two-Gun Gussie;;;;Dublin, Départ de la gare. Panorama;Manchester to Blackpool Road Race;Epileptic Seizure, No. 4;;;;
970;;;;;;;;;;;;Trilby and Little Billee;Expert Bag Punching;Epileptic Seizure, No. 2;;;;
971;;;;;;;;;;;;Incident at Clovelly Cottage;A Scrap in Black and White;Epileptic Seizure, No. 1;;;;
972;;;;;;;;;;;;The Dolorita Passion Dance;The Unappreciated Joke;A Trip to Berkeley, Cal;;;;
973;;;;;;;;;;;;Fregoli al restaurant;Guillaume Tell;How the Office Boy Saw the Ball Game;;;;
974;;;;;;;;;;;;Fregoli retroscena ovvero Fregoli donna;Turning the Tables;Le Chemineau;;;;
975;;;;;;;;;;;;Fregoli in palcoscenico ovvero Fregoli barbiere maldestro;The Messenger Boy's Mistake;Her First Adventure;;;;
976;;;;;;;;;;;;Burla al marito;The Extra Turn;Sicilia illustrata;;;;
977;;;;;;;;;;;;Jizo the Ghost;Tarantellen af 'Napoli';A Series of Images From the Life of King Oscar II;;;;
978;;;;;;;;;;;;Father Christmas and the Fairy;"A Frontier Flirtation; or, How the Tenderfoot Won Out";The Aborigine's Devotion;;;;
979;;;;;;;;;;;;Rochers de la vierge (Biarritz);The Fate of the Artist's Model;Transfigurations;;;;
980;;;;;;;;;;;;Queen Victoria's Garden Party at Buckingham Palace;The Fake Legless Cripple;L'hôtel du silence;;;;
981;;;;;;;;;;;;Queen Victoria's Carriage;Alphonse and Gaston, No. 3;The Boy Detective, or The Abductors Foiled;;;;
982;;;;;;;;;;;;Queen Victoria's Diamond Jubilee;Tram Ride from King Street to Patrick's Bridge, Cork;An Awful Moment;;;;
983;;;;;;;;;;;;Boys Bathing: Venice;Life in Wexford;How a British Bulldog Saved the Union Jack;;;;
984;;;;;;;;;;;;Sortie d’usine, [II];Trade Procession at Opening of Cork Exhibition;Salaviinanpolttajat;;;;
985;;;;;;;;;;;;Roma Camp;Sports Day at Queen's College Ground, Cork;Seil und Tau Fabrikation in Howrah bei Kalkutta;;;;
986;;;;;;;;;;;;French Military School Exercise;Panorama of College Green, Dublin;The Husband's Trick;;;;
987;;;;;;;;;;;;Ponte Dei Sospiri;A Tough Dance;The Reprieve: An Episode in the Life of Abraham Lincoln;;;;
988;;;;;;;;;;;;London;Wexford Railway Station;For a Necklace;;;;
989;;;;;;;;;;;;Conway Castle;Albert Quay in Cork;Siege and Surrender of Port Arthur;;;;
990;;;;;;;;;;;;Portsmouth;Preparation of the Cork Exhibition Grounds and Erection of Buildings;The Pirates;;;;
991;;;;;;;;;;;;Naval Exercise;Arrival of the Governor General, Lord Minto, at Quebec;Nick Carter: Episode 1 - The Doctor's Rescue;;;;
992;;;;;;;;;;;;Southampton;Workers Leaving Lee Boot Factory — Dwyer & Co. Ltd., Cork;Nero and the Burning of Rome;;;;
993;;;;;;;;;;;;Orphan Girls in Amsterdam;Arrival of VIPs for Official Opening of Cork Exhibition;"The Missing Legacy; or, The Story of a Brown Hat";;;;
994;;;;;;;;;;;;Voyage dans un train;Lord Mayor of Cork Arriving for Official Opening of Cork Exhibition;The Mill Girl;;;;
995;;;;;;;;;;;;Arrivée du Tzar à Paris;Regiments Returned from Boer War to Victoria Barracks, Cork;The Merry Widow;;;;
996;;;;;;;;;;;;Panorama dal traghetto Lombardia;Congregation Leaving Jesuit Church of St. Francis Xavier, Dublin;The Masher;;;;
997;;;;;;;;;;;;Firenze: uscita dal Palagio dell'Arte della Lana e partenza d'automobile;Congregation Leaving St. Mary's Dominican Church in Cork;The Martyrdom of Thomas A Becket;;;;
998;;;;;;;;;;;;Veduta dal finestrino posteriore di un tram;Congregation Leaving St. Patrick's Church in Cork;The Law of Forgiveness;;;;
999;;;;;;;;;;;;Veduta del porto di Napoli da un battello;Panorama of Cork Exhibition Grounds;Jamaica Negroes Doing a Two-Step;;;;
1000;;;;;;;;;;;;Siena, the Palio;Final of International Cup at Cork Regatta Between Leander and Berlin;Interrupted Crap Game;;;;
1001;;;;;;;;;;;;Semi-Nude Woman Hopping on Left Foot;Two-Oared Boat Race, Sundays Well, Cork;"The 100 to One Shot; or, A Run of Luck";;;;
1002;;;;;;;;;;;;Public Transport in Amsterdam;Everton v Liverpool;How Rastus Got His Pork Chop;;;;
1003;;;;;;;;;;;;Moutons entrant à l'abattoir;Rotherham Town v Thornhill;The Girl from Montana;;;;
1004;;;;;;;;;;;;Soupe des soldats;Day School Sports at Park Avenue, Bradford;The Execution of Dorrego;;;;
1005;;;;;;;;;;;;Baigneurs en Seine à Paris;Bird's-Eye View of San Francisco, Cal., from a Balloon;"Francesca di Rimini; or, The Two Brothers";;;;
1006;;;;;;;;;;;;The Tarantella, an Italian Dance;Cork Fire Brigade Turning Out;Dumb Sagacity;;;;
1007;;;;;;;;;;;;A Camp of Zingaree Gypsies;Cattle Market in Derry;The Prodigal Son;;;;
1008;;;;;;;;;;;;Catching the Ferry in Amsterdam;Panorama of Queenstown Harbour;To a Good Cat, a Good Rat;;;;
1009;;;;;;;;;;;;Passage des portiques (École de gymnastique de Joinville);Views of the Grand Parade, Cork;Bernadette Soubirous and the Apparitions of Lourdes;;;;
1010;;;;;;;;;;;;Upside Down Boxers;The Visit of the Duke of Connaught C-I-C Forces in Ireland and Prince Henry of Prussia to Cork Exhibition;Count Ugolino;;;;
1011;;;;;;;;;;;;Panoramic View of Windsor Castle;Ambush II at Eyrefield Lodge, Curragh;A Comedy of Errors;;;;
1012;;;;;;;;;;;;Firing the Maxim Gun;Ride from Blarney to Cork on Cork and Muskerry Light Railway;A Father's Honor;;;;
1013;;;;;;;;;;;;Hiram Maxim and His Quick-firing Gun;Crews Practicing on River Lee at Cork Regatta;Down in the Coal Mines;;;;
1014;;;;;;;;;;;;A Blast at the Solvay Quarries;Champion Athletes at Birmingham;Scenes of Convict Life;;;;
1015;;;;;;;;;;;;Maidenhead Junction;Panoramic View of the Golden Gate;The Robber's Sweetheart;;;;
1016;;;;;;;;;;;;The Humpty Dumpty Circus;Kansas Saloon Smashers;Building a British Railway: Crewe Railway Junction;;;;
1017;;;;;;;;;;;;Procession of Capuchin Monks;Femmes émancipées;The Blacksmith's Daughter;;;;
1018;;;;;;;;;;;;The Bridge of Sighs, Venice;President McKinley's Speech at the Pan-American Exposition;The Wooing and Wedding of a Coon;;;;
1019;;;;;;;;;;;;Venice, harbour scene with gondolas;President McKinley Reviewing the Troops at the Pan-American Exposition;King of the Cannibal Islands;;;;
1020;;;;;;;;;;;;Coronation of Queen Wilhelmina of Holland (No. 1);President Roosevelt at the Canton Station;Dingjun Mountain;;;;
1021;;;;;;;;;;;;London Fire Brigade, Alarm;Panoramic View of the President's House at Canton, Ohio;The Dancing Nig;;;;
1022;;;;;;;;;;;;Place de la Concorde;Panoramic View of Electric Tower from a Balloon;Charlotte Corday;;;;
1023;;;;;;;;;;;;Away Aloft;Circular Panorama of the Esplanade and Forecourt;Béatrix Cenci;;;;
1024;;;;;;;;;;;;Mills from the Zaanstreek;Duke of York at Montreal and Quebec;Monkeyland, a Jungle Romance;;;;
1025;;;;;;;;;;;;From War to Peace;Love in a Hammock;Donkey Skin;;;;
1026;;;;;;;;;;;;Dutch Fishing Boats;Sham Battle at the Pan-American Exposition;Wolf Hunt;;;;
1027;;;;;;;;;;;;Scheveningen gedurende het Seizoen;Montreal Fire Department on Runners;The Gallants of the Park;;;;
1028;;;;;;;;;;;;From Monte Carlo to Monaco;Esquimaux Village;After Many Years;;;;
1029;;;;;;;;;;;;Fun on a Sand Hill;Esquimaux Game of Snap-the-Whip;Troubles of a Grass Widower;;;;
1030;;;;;;;;;;;;Capuchin Monks in Vatican City;Esquimaux Leap-Frog;The Dangers in a Fisherman’s Life;;;;
1031;;;;;;;;;;;;Funeral Procession of the Misericordia;Horse Parade at the Pan-American Exposition;I Fetch the Bread;;;;
1032;;;;;;;;;;;;Pleasure in Berlin;Taking President McKinley's Body from Train at Canton, Ohio;Tomkins Buys a Donkey;;;;
1033;;;;;;;;;;;;Countryside Near Amsterdam;Sampson-Schley Controversy;La Tosca;;;;
1034;;;;;;;;;;;;Scheveningen;The Emperor of Russia's Arrival in Elsinore;C'est Papa qui a pris la purge;;;;
1035;;;;;;;;;;;;The Irish Mail;Congregation Leaving St. Mary's Pro-Cathedral, Dublin;Fiskerliv i Norden;;;;
1036;;;;;;;;;;;;Les méfaits d'une tête de veau;Building a Harbor at San Pedro;Balked at the Altar;;;;
1037;;;;;;;;;;;;Une bataille dans le vieux Stockholm;Mob Outside the Temple of Music at the Pan-American Exposition [Buffalo];Conscience de magistrat;;;;
1038;;;;;;;;;;;;Fighting with our Boys in Cuba;Salford v Batley;Grundstensnedlæggelse ved Gustav Adolfs Kirke;;;;
1039;;;;;;;;;;;;Battle of Santiago Bay;Newcastle United v Liverpool;The Sculptor's Nightmare;;;;
1040;;;;;;;;;;;;Bataille de femmes interrompue par un chien;Oldham v Swinton;Buying a Cow;;;;
1041;;;;;;;;;;;;Le lit en bascule;Hunslet v Leeds;The Fatal Hour;;;;
1042;;;;;;;;;;;;Le charpentier maladroit;Manchester Wheelers' Annual Race Meet;A Trip Through the Canals of Copenhagen;;;;
1043;;;;;;;;;;;;Ujazdów Avenue;Race for the Muriatti Cup, Manchester;Typografernes Strejke;;;;
1044;;;;;;;;;;;;Franciscan Street;Arthur Mold Bowling to A.N. Hornby;Modeopvisning - Kjoler;;;;
1045;;;;;;;;;;;;Buffalo Bill: cow-boys;Tynemouth Swimming Gala in the Haven, North Shields;Kong Frederik VIII gæster Jylland;;;;
1046;;;;;;;;;;;;Buffalo Bill: lassage de chevaux;Lord Roberts' Visit to Manchester;The Magnetized Man;;;;
1047;;;;;;;;;;;;Skating-rink in the Royal Baths;A Sneaky Boer;Skøjteløbning i Fredericia;;;;
1048;;;;;;;;;;;;Place de la Concorde et entrée de la rue Royale;Manchester and Salford Harriers' Cyclists' Procession;Københavnerbilleder;;;;
1049;;;;;;;;;;;;La bandera argentina;Spanish Dancers at the Pan-American Exposition;Engineers Excavate Skandser and Set Off Blasts;;;;
1050;;;;;;;;;;;;Panorama des rives de la Seine, II;Life Rescue at Long Branch;Children's Aid Day in Copenhagen;;;;
1051;;;;;;;;;;;;Panorama des rives de la Seine, I;Why Mr. Nation Wants a Divorce;May 1 demonstrations in Slagelse;;;;
1052;;;;;;;;;;;;Bailado de Crianças no Colégio do Andaraí;Aunt Sallie's Wonderful Bustle;Automobiler i Fredensborg;;;;
1053;;;;;;;;;;;;Ancoradouro de Pescadores na Baía de Guanabara;The Tramp's Unexpected Skate;Sprængning af Træer i Dyrehaven;;;;
1054;;;;;;;;;;;;The Haverstraw Tunnel;Mysterious Cafe, or Mr. and Mrs. Spoopendyke Have Troubles with a Waiter;Sprængning af Huse i Ordrup Krat;;;;
1055;;;;;;;;;;;;Place de la Concorde (vue prise du côté ouest);A Trip Around the Pan-American Exposition;Hestevæddeløb i Sverige;;;;
1056;;;;;;;;;;;;Rue Royale;Grandma and the Bad Boys;Haslev Agriculture Fair;;;;
1057;;;;;;;;;;;;Scène de rêve;Bombardment of Taku Forts, by the Allied Fleets;Vore Ingeniører slaar Pontonbro;;;;
1058;;;;;;;;;;;;Danse du papillon;Panorama of the Paris Exposition, from the Seine;Orchestra at Frederiksberg Theater;;;;
1059;;;;;;;;;;;;Mademoiselle Zambelli de l'Opéra;Hooligan Assists the Magician;Volunteer Boys' Association;;;;
1060;;;;;;;;;;;;Paul Nadar lisant l'Écho de Paris à la terrasse d'un café;Kobelkoff;Badende Drenge i Skovshoved Havn;;;;
1061;;;;;;;;;;;;Paul Nadar pratiquant l'escrime;The Chimney Sweep and the Miller;Zachariæs Selskab;;;;
1062;;;;;;;;;;;;Les deux gosses;Courses d'ensembles des régates (rameurs assis);Shrovetide Celebrations at Mogensen's;;;;
1063;;;;;;;;;;;;Danse russe;Why Jones Discharged His Clerks;Viking løber af Stabelen;;;;
1064;;;;;;;;;;;;Danses slaves;An Artist's Dream;Fru Ellen Aggerholm;;;;
1065;;;;;;;;;;;;Fighting the Fire;Why Mrs. Jones Got a Divorce;His First Ride;;;;
1066;;;;;;;;;;;;Victorious Squadron Firing Salute;English Lancers Charging;The Hand of the Artist;;;;
1067;;;;;;;;;;;;California Limited, A.T. & S.F.R.R.;Panorama of Gorge Railway;Mr. Hurry-up;;;;
1068;;;;;;;;;;;;Lassoing a Steer;The Magician;The Unwritten Law: A Thrilling Drama Based on the Thaw-White Tragedy;;;;
1069;;;;;;;;;;;;Jumbo, Horseless Fire-Engine;Ching Ling Foo Outdone;The Fairy of the Black Rocks;;;;
1070;;;;;;;;;;;;Scene on Surf Ave., Coney Island;An Animated Luncheon;The Enchanted Pond;;;;
1071;;;;;;;;;;;;Sea Beach Scene;The Unexpected Bath;The Charmer;;;;
1072;;;;;;;;;;;;The Fake Beggar;Danse du papillon;The Pearl Fisherman;;;;
1073;;;;;;;;;;;;Snowballing the Coasters;Burning of the Standard Oil Co.'s Tanks, Bayonne, N.J.;Den hvide slavinde;;;;
1074;;;;;;;;;;;;Officers and Crew of the U.S. Cruiser 'Brooklyn';Maude's Naughty Little Brother;Kong Frederik VIII besøger Færøerne;;;;
1075;;;;;;;;;;;;Farmer Kissing the Lean Girl;Gymnasium Exercises and Drill at Newport Training School;King Frederik VIII Travels to Iceland;;;;
1076;;;;;;;;;;;;Cuban Volunteers Marching for Rations;Battle of Mafeking;Ellehammers første Forsøg med Aeroplan;;;;
1077;;;;;;;;;;;;Wash Day Trouble;How They Rob Men in Chicago;King Frederik VIII and Kristiania;;;;
1078;;;;;;;;;;;;Mexican Rurales Charge;The Artist and the Dummy;The King's Visit to Aarhus on 1. September 1906;;;;
1079;;;;;;;;;;;;Battery B Pitching Camp;Launching a Stranded Schooner from the Docks;King Haakon's Coronation in Trondheim;;;;
1080;;;;;;;;;;;;Battery B Arriving at Camp;A Wake in 'Hell's Kitchen';The King and Queen Drive Between Kroningen and Trondheim Cathedral on 22 June 1906;;;;
1081;;;;;;;;;;;;Husking Bee;Above the Limit;King Haakon's Arrival in Trondheim;;;;
1082;;;;;;;;;;;;Crawford Shoe Store;Scene in the Swiss Village at Paris Exposition;Prinsen og Prinsessen af Wales' Ankomst til Trondhjem;;;;
1083;;;;;;;;;;;;Comic Shaving;Gun Drill by Naval Cadets at Newport Training School;Dynamiting Ruins and Rescuing Soldiers Caught in the Fallen Walls;;;;
1084;;;;;;;;;;;;Boat Wagon and Beach Cart;Panoramic View of Tremont Hotel, Galveston;The Proclamation of King Frederik VIII;;;;
1085;;;;;;;;;;;;A Bowery Cafe;Panorama of Wreckage of Water Front;King Frederik VIII's Proclamation;;;;
1086;;;;;;;;;;;;A Corner of Barnet Fair;Danse espagnole de la Feria Sevillanos;Kong Haakons besøg paa 'Herluf Trolle';;;;
1087;;;;;;;;;;;;James Grundy, Buck and Wing;White Horse Rapids;Militære Opvisninger paa Fælleden;;;;
1088;;;;;;;;;;;;Umberto and Margherita of Savoy Strolling Through the Park;Panoramic View of the Place de la Concorde;Væddeløbene ved Eremitagen;;;;
1089;;;;;;;;;;;;Milan: The Rowers;Panorama of the Moving Boardwalk;Kongerevue 1906;;;;
1090;;;;;;;;;;;;Tunis: Le Bey et son escorte;Panorama of Galveston Power House;17th of May in Norway;;;;
1091;;;;;;;;;;;;Panorama des quais de la Saône à Lyon pris d'un bateau;Panorama of Orphans' Home, Galveston;Lerfossen;;;;
1092;;;;;;;;;;;;Porte de Tolède;Naval Apprentices at Sail Drill on Historic Ship 'Constellation';King Haakon's Visit to 'Dannenbrog' at Crown Prince Christian's Abode;;;;
1093;;;;;;;;;;;;The Queen's Lancers: Charge [Spain];Discharging a Whitehead Torpedo;Børnehjælpsdagen 1905, I-III;;;;
1094;;;;;;;;;;;;Fête du jubilé de la reine d'Angleterre : la reine arrivant à Windsor;Automobile Parade;Betting;;;;
1095;;;;;;;;;;;;Exercice du sabre;Undressing scene 'summer joys';Through Aarhus Gates by Tram;;;;
1096;;;;;;;;;;;;Entrée du cortège royal à l'Exposition;Esplanade des Invalides;Linotol Comp.;;;;
1097;;;;;;;;;;;;Course de matelots;Panoramic View of Newport;King Haakon and Queen Maud's departure from Denmark on 23. November;;;;
1098;;;;;;;;;;;;Bains sur le Rhône;Panorama of Place de l'Opéra;Christmas Miracle;;;;
1099;;;;;;;;;;;;Picadors;Red Cross Ambulance on Battlefield;Lifting the Lid;;;;
1100;;;;;;;;;;;;Running of the Bulls;Davey Jones' Locker;Latina, Dislocation Act;;;;
1101;;;;;;;;;;;;Hello from the Yardarms;Neptune's Daughters;Latina, Physical Culture Poses (No. 2);;;;
1102;;;;;;;;;;;;Rice Harvest;Torpedo Boat 'Morris' Running;Latina, Physical Culture Poses (No. 1);;;;
1103;;;;;;;;;;;;Unloading Grain;Breaking of the Crowd at Military Review at Longchamps;Jim Jeffries on His California Ranch;;;;
1104;;;;;;;;;;;;Via Marina;Champs Elysees;Human Apes from the Orient;;;;
1105;;;;;;;;;;;;IX: The Crown of Thorns;A Dull Razor;The Anarchist's Mother-in-Law;;;;
1106;;;;;;;;;;;;VIII: The Flagellation;Charge of Boer Cavalry;Enkekejserinde Dagmars Ankomst;;;;
1107;;;;;;;;;;;;VII: The Arrest of Jesus Christ;Panoramic View of the Champs Elysees;Orfeus og Eurydike;;;;
1108;;;;;;;;;;;;Via Carlo Alberto;Overland Express Arriving at Helena, Mont.;Holger Drachmann;;;;
1109;;;;;;;;;;;;Embarquement des filets de pêche;A Gesture Fight in Hester Street;The Pigeon Fairy;;;;
1110;;;;;;;;;;;;Carrefour de l'opéra;Boers Bringing in British Prisoners;The Joe Gans-Battling Nelson Fight;;;;
1111;;;;;;;;;;;;Watering the Flowers;Dick Croker Leaving Tammany Hall;Anna, what are you waiting for?;;;;
1112;;;;;;;;;;;;Budapest : cortège du sceptre royal;Messrs Lumb and Co Leaving the Works, Huddersfield;Living Flowers;;;;
1113;;;;;;;;;;;;Sauts à la perche;Comedy Cake Walk;Logging in Maine;;;;
1114;;;;;;;;;;;;Cheval à arçons;Epinal: Les bords de la Moselle;The Invisible Men;;;;
1115;;;;;;;;;;;;Arrivée et déchargement d’un train de gravier;Vue prise d'une baleinière en marche;Voyage autour d'une étoile;;;;
1116;;;;;;;;;;;;Child With a Balloon;New Black Diamond Express;Electric Current;;;;
1117;;;;;;;;;;;;Washing the Sweep;Capture of Boer Battery by British;Society Ballooning, Pittsfield, Mass.;;;;
1118;;;;;;;;;;;;Gymnasts on Parallel Bars;Searching Ruins on Broadway, Galveston, for Dead Bodies;San Francisco Disaster;;;;
1119;;;;;;;;;;;;Devil's Dyke Fun Fair;Promenade du dragon à Cholon, I;Skyscrapers;;;;
1120;;;;;;;;;;;;Ten Inch Disappearing Carriage Gun Loading and Firing, Sandy Hook;Japanese Actors: Wig Exercise;Arrival of Emigrants, Ellis Island;;;;
1121;;;;;;;;;;;;The Dancing Skeleton;Street Car Chivalry;The Great Jewel Mystery;;;;
1122;;;;;;;;;;;;Francfort-sur-le-Main, Alter-Marktplatz;Panorama of Blackwell's Island;A Trip to Salt Lake City;;;;
1123;;;;;;;;;;;;Francfort : réception de Guillaume II;Move On;Departure of Peary and the Roosevelt from New York;;;;
1124;;;;;;;;;;;;Kaiser Wilhelm II. beim Besuche der Vulkan-Werft in Stettin am 4. Mai 1897;Emigrants Landing at Ellis Island;Pennsylvania Tunnel Excavation;;;;
1125;;;;;;;;;;;;Ocean Greyhounds;Subub Surprises the Burglar;Bargain Day, 14th Street, New York;;;;
1126;;;;;;;;;;;;Launch, U.S. Battleship 'Kentucky';New York City 'Ghetto' Fish Market;Hippodrome Races, Dreamland, Coney Island;;;;
1127;;;;;;;;;;;;"S.S. ""Coptic"" Running Against the Storm";Foxy Grandpa and Polly in a Little Hilarity;The Boarding School Girls;;;;
1128;;;;;;;;;;;;Hanging Out the Clothes;The Boys Think They Have One on Foxy Grandpa, But He Fools Them;Lovely Bohemians;;;;
1129;;;;;;;;;;;;Esposizione di Torino;Scene on Lower Broadway;Le Moustique Récalcitrant;;;;
1130;;;;;;;;;;;;Horse-drawn Traffic Viewed from Elevated Position;"The Twentieth Century Tramp; or, Happy Hooligan and His Airship";Danse de l'éventail;;;;
1131;;;;;;;;;;;;Alger : déchargement au port;Pas de deux;Dial's Girl's Band, Luna Park;;;;
1132;;;;;;;;;;;;A Terrible Night (Remake);Burnley v Manchester United;The Dog Outwits the Kidnapper;;;;
1133;;;;;;;;;;;;Launch of Surf Boat;Living Wigan;The Boutdebois Brothers;;;;
1134;;;;;;;;;;;;Escrime;Sheffield United v Bury;Little Tich;;;;
1135;;;;;;;;;;;;New York, Broadway and Wall Street;Leeds Athletic and Cycling Club Carnival;Woman Draped in Patterned Handkerchiefs;;;;
1136;;;;;;;;;;;;Bicycle Race at the Arroyo Seco Cycle Track;The Great Local Derby: Accrington v Church Cricket Match;Whitsuntide Fair at Preston;;;;
1137;;;;;;;;;;;;Admiral Sallandrouze and General Tournier;Wexford Bull Ring;The Roller Skate Craze;;;;
1138;;;;;;;;;;;;Single harness horses;Electric Tram Rides from Forster Square, Bradford;The Cigar Box;;;;
1139;;;;;;;;;;;;Irish Way of Discussing Politics;Tram Ride Into Halifax;Japanese Butterflies;;;;
1140;;;;;;;;;;;;The Grasshopper and the Ant;President McKinley Inauguration;In the Land of the Gold Mines;;;;
1141;;;;;;;;;;;;The Cave of the Demons;Laura Comstock's Bag-Punching Dog;The Blue Bird;;;;
1142;;;;;;;;;;;;Torres Strait Islanders;Another Job for the Undertaker;The Black Witch;;;;
1143;;;;;;;;;;;;Pope Leo XIII Leaving Carriage and Being Ushered Into Garden, No. 104;Japanese Village;Cinderella;;;;
1144;;;;;;;;;;;;Children in the Nursery;The Gordon Sisters Boxing;The Fairy of Spring;;;;
1145;;;;;;;;;;;;Panoramic View of the Vegetable Market at Venice;A Perilous Proceeding;The Wonderful Album;;;;
1146;;;;;;;;;;;;Vienna Street Scenes;Morecambe Church Lads' Brigade at Drill;The Hen That Laid the Golden Eggs;;;;
1147;;;;;;;;;;;;Waves Breaking;University Procession on Degree Day, Birmingham;Poor Mother;;;;
1148;;;;;;;;;;;;Through Miller's Dale (Near Buxton, Derbyshire) Midland Railway;Miners Leaving Pendlebury Colliery;Policemen as We Portray Them / Policemen as They Are;;;;
1149;;;;;;;;;;;;Irish Mail – L.& N.W. Railway – Taking up Water at Full Speed;Sedgwick's Bioscope Show Front;Dr. Isnardi: Amputation;;;;
1150;;;;;;;;;;;;The Zola-Rochefort Duel;Jamaica Street, Glasgow;Sideshow Wrestlers;;;;
1151;;;;;;;;;;;;Kissing Couple Caught by a Photographer;Preston Egg Rolling;The Woes of Roller Skaters;;;;
1152;;;;;;;;;;;;Herbert Campbell As Little Bobby;Manchester Band of Hope Procession;The Vacuum Cleaner;;;;
1153;;;;;;;;;;;;Rifle Hill Signal Station near Frere Camp;Alfred Butterworth and Sons, Glebe Mills, Hollinwood;Why That Actor Was Late;;;;
