;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
123;Fool's Revenge;The Toledo Chest;;;;;Esmeralda;The Girl from Frisco;The Mummy;;Les aventures du baron du Crac;Cock Fight, No. 2;Lotion miraculeuse;The Song of the Shirt;La rieducazione professionale degli invalidi di guerra a Bologna;Female Rivals;Das rosa Pantöffelchen;
124;The Note in the Shoe;Judith and Holophernes;;;;;A Severe Test;Land O' Lizards;A Night of Horror;;Les Allumettes animées;Sunday Morning in Mexico;The Drawing Lesson;Long Distance Wireless Photography;L'ultima monelleria di Cretinetti;Carl Alstrup's Love, Ltd.;Die Königstochter von Travankore;
125;Jealousy and the Man;Esther;;;;;The Vampire;A Modern Knight;Dr. Goudron's System;;Charley Out West;Japanese Sampans;Catching an Early Train;The Last Cartridge, an Incident of the Sepoy Rebellion in India;The Golden Shell of Palermo;Elves' Hill;Mitternacht;
126;His Wife's Mother;The Janitor's Tea Party;;;;;Cupid and the Comet;Bond of Fear;La vengeance des esprits;;Chestnuts;Une partie de lawn-tennis II;Midwife to the Upper Class;Love that Kills;Curing A Would-Be Aviator;Krigskorrespondenter;The Phantom of the Opera;
127;The Brahma Diamond;Cursed Be the War;;;;;Across the Mexican Line;The Trail To Yesterday;The Werewolf;;Dreamy Dud Sees Charlie Chaplin;Rome, la gare;Circular Panorama of Electric Tower;The Mysterious Retort;The Emperor's Messenger;The Amateur's Generosity;The Ballet Girl;
128;A Misunderstood Boy;The Christian Martyrs;;;;;The Monster and the Girl;John Ermine of the Yellowstone;The Crimson Stain Mystery;;Charlie on the Windmill;Cuirassiers traversant la Saône à la nage;Chamonix: Le mauvais pas;The Hairdresser;Alice's Awful Dream;The Spider's Prey;Ein neuer Erwerbszweig;
129;The Lily of the Tenements;The Legend of King Midas;;;;;Tramp Strategy;The Fighting Gringo;The Basilisk;;The Fantastic Voyage;Prestidigitateur, I;Palace of Electricity;Ali Barbouyou and Ali Bouf, In Oil;Ascension to the Giant's Tooth;Det gaadefulde Væsen;Der Totentanz;
130;Serious Sixteen;In the Land of Lions;;;;;Les malabares, acrobats;Anything Once;The Clock-Maker's Secret;;The Dancing Lesson;Melbourne, les courses : sorties des chevaux;The Burlesque Suicide, No. 2;The Count of Monte Cristo;Il capriccio del miliardario;For a Woman's Sake;Sleeping Beauty;
131;Fisher Folks;Le mauvais hôte;;;;;Two Little Rangers;The Gun Woman;The Murders in the Rue Morgue;;Bobby Bumps: Tanks;Paris, Champs-Elysées (voitures);The Old Maid Having Her Picture Taken;The Vaquero's Vow;Graziella;When Passion Blinds Honesty;The St. Willibrordus Ceremonies;
132;In Life's Cycle;When Leaves Fall;;;;;The Banknote;Headin' South;The Grip;;The Magic Fountain Pen;Serpentine Dance: Loïe Fuller;The Mystic Swing;Peeping Tom in the Dressing Room;Colpa e Pentimento;The Secret of the Night Express;The Checkered Raincoat;
133;The Two Brothers;The Return of the Crusader;;;;;In the Year 2000;The Two Brothers;The Double Incarnation of William Sheep;;The Big Reward;Oil Gush Fire in Bibiheybat;Scene from the Elevator Ascending Eiffel Tower;Betrayed by a Handprint;Odette;A Hero from 64;Games of Youth;
134;The Criminal Hypnotist;The Fault of Another;;;;;Greater Love Hath No Man;Broncho Billy and the Baby;Specter of the Sea;;Cracked Ice;Comic Face;Serpentine Dance by Lina Esbrard;The Feud and the Turkey;Maria di Magdala;The Rose;In Night and Ice;
135;The Taming of the Shrew;Kidnappers;;;;;Electrocution;The Bandit of Point Loma;The Golem and the Dancing Girl;;The Ruby of Razmataz;Cupid and Psyche;The Little Match Seller;The Robber and the Jew;Resurrezione;Det blaa Blod;The Slave Market;
136;For His Son;The Cavalry;;;;;Officer Henderson;The Calling of Jim Barton;Balaoo the Demon Baboon;;Mechanical Operation of British Tanks;First Avenue, Seattle, Washington, No. 8;Chamonix: Arrivée en voitures des breaks d'excursion;A Funeral of a Metropolitan in Bitola;Tontolini makes a mistake;Skovsøens Datter;Das Mädel von nebenan;
137;Two Daughters of Eve;Le secret du corsaire rouge;;;;;Little Tich and His Funny Feet;A Matrimonial Boomerang;The Mistletoe Bough;;And the Villain Still Pursued Her, or, the Author's Dream;Lassage des bœufs pour le labour;The Imperceptible Transmutations;The Impossible Convicts;Fregoli al restaurant;Den forelskede Gullaschbaron;Count Dohna and his seagull;
138;On the Reef;A Race for Millions;;;;;Serpentine Dance by Lina Esbrard;In the Sage Brush Country;The Devil on Two Sticks;;A Grid-Iron Hero;Arc de Triomphe;Pierrette's Escapades;A Story Well Spun;Fregoli retroscena ovvero Fregoli donna;Boston and the Telescope;The White Othello;
139;The Mender of Nets;Jimmy Pulls The Trigger;;;;;Danse Serpentine (In a Lion's Cage);The Different Man;Witching Hour;;Keeping Up with the Joneses: Men’s Styles;Horses Bathing;The Ghost Train;Turkish Professor at the Agricultural School;Fregoli in palcoscenico ovvero Fregoli barbiere maldestro;A Dead Man's Child;Das Mädchen und die Männer;
140;Tis an Ill Wind That Blows No Good;Mozart's Last Requiem;;;;;The Fairy of Spring;A Wife on a Wager;The Damnation of Faust;;Der Schreiber und die Biene;The Bad Boy and the Gardener;The Magician and the Imp;The Parade of Serbian Army in Bitola;Burla al marito;A New Hat for the Madam;Frauen, die der Abgrund verschlingt;
